"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NALF1",4.89268270394686e-171,-6.25096217857739,0.112,0.981,8.47510497977675e-167
"PKHD1",3.35373744474045e-170,-5.41232907533289,0.169,0.994,5.80934400177941e-166
"GDA",6.6522057986406e-169,-8.05010129166692,0.046,0.946,1.15229508844052e-164
"PCSK5",1.97031647659225e-167,-5.83930853376141,0.175,0.983,3.4129822007531e-163
"SAMD12",5.425008212626e-166,-6.17891394900482,0.079,0.965,9.39719922591076e-162
"SPON1",5.38872132252163e-161,-6.80042237565174,0.081,0.954,9.33434307487197e-157
"NPNT",4.24847965636148e-159,-6.71946495073146,0.025,0.913,7.35921646074935e-155
"MMP7",1.13150063236563e-157,-7.1128398499265,0.049,0.936,1.95998539538375e-153
"KCNMA1",4.14809977653699e-157,4.13788293107727,0.997,0.723,7.18533843291737e-153
"ARHGEF38",2.27647125626949e-156,-5.39092229640411,0.111,0.949,3.94330351011e-152
"ADGRF1",1.17518490886008e-155,-7.66146935565192,0.02,0.908,2.03565529912743e-151
"LAMA4",1.47537444797806e-155,-6.291563695487,0.039,0.914,2.55564361878759e-151
"MECOM",4.77249340769353e-155,-4.35278468936891,0.389,0.989,8.26691308080673e-151
"C4orf19",5.62068635520536e-150,-5.64278405182643,0.085,0.905,9.73615290448673e-146
"NEDD4L",6.89386395015688e-148,-3.11093711108044,0.644,0.987,1.19415511344617e-143
"BICD1",1.15301509799301e-146,2.55278114065935,0.995,0.967,1.99725275274349e-142
"DAPP1",1.57954703711938e-146,-8.63823117713414,0.009,0.855,2.73609137769819e-142
"C3",3.18401693424457e-146,-6.09520406895998,0.184,0.928,5.51535413349844e-142
"SYT16",8.42479786067361e-146,-6.35010479625186,0.024,0.874,1.45934348542588e-141
"FAM83B",1.03841568013259e-144,-6.0916977974264,0.031,0.873,1.79874364112567e-140
"NTNG1",1.08358744951922e-144,-5.96555711345208,0.069,0.882,1.87699018005719e-140
"KITLG",1.63680327864474e-144,-4.94013421374413,0.179,0.947,2.83527063926842e-140
"HIF1A",2.35584891354638e-144,-3.26860929748018,0.646,0.984,4.08080148804503e-140
"ERBB4",2.37435799380245e-144,-7.02327160957483,0.067,0.889,4.11286291686461e-140
"PALM2AKAP2",2.71443400721944e-143,-3.34657923340722,0.619,0.995,4.70194258730551e-139
"TNFRSF11B",2.02598318533634e-142,-4.55941145820493,0.127,0.922,3.50940807363961e-138
"EHF",4.66270057169619e-142,-7.07038434910621,0.024,0.846,8.07672993029215e-138
"PROM1",4.42811336109716e-141,-3.46396150071275,0.319,0.99,7.67037796409249e-137
"HS3ST1",3.35952456324057e-140,-6.70771907868093,0.029,0.848,5.81936844844532e-136
"KCNIP4",4.46277713694809e-140,-4.20278440857918,0.295,0.975,7.73042255662149e-136
"CDH2",1.2166877366649e-139,5.99663339194378,0.873,0.103,2.10754649745094e-135
"PTPRM",2.61816733469322e-139,-3.09830360809062,0.668,0.996,4.53518945715559e-135
"ARHGAP29",1.57511864802546e-138,-2.79020902289415,0.693,0.995,2.7284205221097e-134
"ARID5B",4.2029740951143e-137,-3.2186373770512,0.495,0.979,7.28039172755699e-133
"LAMC2",1.24852997484127e-136,-4.42411607772614,0.265,0.952,2.16270362242004e-132
"SPP1",2.82941283860386e-135,-2.91330606514817,0.725,0.994,4.9011089190296e-131
"LCN2",1.42732715223425e-134,-8.25376878265686,0.022,0.827,2.47241609310018e-130
"SOD2",1.18268357602776e-133,-3.00448984847898,0.735,0.991,2.04864449039529e-129
"MALT1",1.69407169467244e-133,-3.41794604518448,0.581,0.988,2.93447098951159e-129
"RYR3",3.89817036764673e-133,-4.20387939308639,0.147,0.888,6.75241071083767e-129
"ESRRG",5.3909203624618e-133,-4.09760986345406,0.176,0.918,9.33815225185633e-129
"GAREM1",3.5797585384683e-132,-3.70438781290845,0.345,0.963,6.2008577403348e-128
"LAMB3",4.33252545542203e-132,-5.28172160681035,0.106,0.877,7.50480059388204e-128
"DNM3",8.57616282803704e-132,-3.97636027239121,0.177,0.904,1.48556292507258e-127
"SAA1",1.05889570358862e-130,-7.26198350369089,0.015,0.795,1.83421913775621e-126
"L1CAM",1.06065659417137e-130,-4.00122944744979,0.132,0.889,1.83726935242366e-126
"CFI",2.65560977543336e-130,-5.15674972159209,0.032,0.836,4.60004725300566e-126
"TJP2",4.80533721287816e-130,-2.6591482527257,0.59,0.981,8.32380512014755e-126
"MYH10",6.12146868547309e-130,-3.66547059670138,0.121,0.887,1.06036080569765e-125
"LAMC1",1.41498956744529e-129,-1.98122459310261,0.93,0.997,2.45104492872873e-125
"KCNQ3",4.17187861244116e-129,-4.13037450472122,0.178,0.918,7.22652813247057e-125
"SYNE2",5.41579559608745e-129,-1.72994962647096,0.923,0.999,9.38124113154268e-125
"PLAU",5.95100716008366e-129,-4.75403081176022,0.224,0.924,1.03083346026969e-124
"XKR4",7.70850234034662e-129,-6.29949709742929,0.095,0.842,1.33526677539484e-124
"KLF5",7.93720345829867e-129,-3.7786668740978,0.188,0.89,1.3748823830465e-124
"SCN2A",1.13807023314307e-128,-6.97521802776598,0.047,0.819,1.97136525785043e-124
"CA12",4.33356929391516e-128,2.55059724689731,0.984,0.883,7.50660873091984e-124
"CHN2",5.23620443397164e-128,-6.31994583742728,0.032,0.803,9.07015332052568e-124
"SIM1",6.65008296728444e-128,-5.08666866192386,0.037,0.807,1.15192737159301e-123
"ZEB2",2.11107218574503e-127,4.87867272460466,0.895,0.197,3.65679924014754e-123
