"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COL8A1",0,-6.37069208292981,0.131,0.786,0
"ALPK2",0,-3.17783989673455,0.276,0.864,0
"APBB1IP",0,-6.56152204170784,0.016,0.585,0
"SLC35F3",0,-4.81082666052593,0.228,0.784,0
"STK32B",0,-3.97868471845684,0.109,0.66,0
"MTCP1",0,-6.87087594909268,0.07,0.615,0
"TRHDE",0,-3.20767295629781,0.172,0.712,0
"BNC2",0,-3.00838052503218,0.338,0.87,0
"CHST9",0,-4.6680124758961,0.059,0.59,0
"EDIL3",0,-4.47826207313551,0.283,0.813,0
"TENM3",0,-4.31737765319573,0.214,0.738,0
"GLIS1",0,-7.00072232982639,0.024,0.539,0
"SUGCT",0,-3.78924119860155,0.101,0.604,0
"SAMD12",0,-4.45727231122049,0.079,0.57,0
"CYB5A",0,-3.07867193515199,0.148,0.63,0
"ADGRB3",0,-5.82782797158939,0.079,0.546,0
"COL6A3",0,-6.46570516873921,0.048,0.507,0
"ENPEP",0,-2.9393981792097,0.22,0.675,0
"NRG3",0,1.76519933087228,0.798,0.343,0
"MIPOL1",0,-2.82068041132447,0.177,0.631,0
"IL1RAPL1",0,-3.24537404002998,0.085,0.53,0
"COL11A1",0,-5.6011272217914,0.023,0.467,0
"PRKG1",0,-4.18840942152304,0.097,0.54,0
"BHMT2",0,-5.02717931349728,0.021,0.463,0
"PRR16",0,-6.80774783923283,0.039,0.48,0
"MID1",0,-2.69709342395032,0.322,0.76,0
"PCOLCE2",0,-3.9523097398322,0.051,0.486,0
"RBMS3",0,-2.31875109135295,0.41,0.84,0
"SEMA3A",0,-3.34652856863346,0.115,0.539,0
"VEGFC",0,-4.37449676799477,0.089,0.512,0
"JAKMIP2",0,-2.61129580133138,0.119,0.542,0
"ANTXR1",0,-3.99806871423726,0.132,0.552,0
"UBE3D",0,-2.76306092889973,0.255,0.673,0
"NEGR1",0,-5.5714487653271,0.089,0.507,0
"NPAS3",0,-2.7531124157961,0.194,0.61,0
"FRMD4A",0,-5.13930508142436,0.345,0.759,0
"LBH",0,4.74401911029002,0.439,0.027,0
"CCSER1",0,-2.99733731276578,0.176,0.587,0
"NNMT",0,-2.57661909493357,0.352,0.762,0
"NLGN4X",0,-3.42328965993489,0.067,0.477,0
"SYT13",0,2.01459347351692,0.83,0.422,0
"FOSB",0,1.37786337143961,0.846,0.438,0
"PTPRO",0,-4.1320599053446,0.049,0.455,0
"HTRA1",0,3.33478462035021,0.718,0.312,0
"HHAT",0,-3.78892852892983,0.138,0.543,0
"DENND2A",0,-2.8949157235596,0.155,0.56,0
"NOSTRIN",0,-5.35810006543545,0.055,0.46,0
"LOX",0,-2.68919407051328,0.268,0.672,0
"FHIP1A",0,-2.25694483582862,0.214,0.618,0
"ANK3",0,-4.7144977023843,0.039,0.439,0
"FHIT",0,-2.3003150588953,0.408,0.807,0
"NALCN",0,-2.46141156187252,0.215,0.614,0
"ZC3H12B",0,-2.20647707915585,0.141,0.539,0
"SNAP25",0,-2.60905560765211,0.107,0.505,0
"LRAT",0,-3.38887669266927,0.109,0.506,0
"GPC5",0,-7.79435005836012,0.119,0.515,0
"SNCA",0,-3.73092259351471,0.047,0.442,0
"LIMA1",0,-2.43341847957982,0.284,0.675,0
"EGR1",0,1.26535480753364,0.89,0.499,0
"FN1",0,-1.73407354962418,0.266,0.656,0
"ITGA1",0,-2.68499828174935,0.138,0.528,0
"PLSCR4",0,-3.50348907405099,0.098,0.487,0
"SCN9A",0,-2.35181534464903,0.367,0.755,0
"SYCP2",0,-3.9674455658666,0.057,0.445,0
"ARHGAP24",0,-2.84721517772009,0.131,0.516,0
"PER2",0,1.3579262302662,0.79,0.406,0
"ZNF704",0,-4.06914533518608,0.062,0.446,0
"TCF4",0,-5.4669870924605,0.017,0.401,0
"ADAMTS12",0,-6.07862298495172,0.092,0.475,0
"TENT5A",0,-3.28520119232615,0.173,0.555,0
"FIGN",0,-1.91625927967908,0.303,0.685,0
"CPQ",0,-2.37029237252589,0.22,0.601,0
"FMN2",0,-8.20534978523152,0.035,0.415,0
"PCDH15",0,-5.52650027048399,0.042,0.418,0
"CA12",0,0.905474468988296,0.984,0.609,0
"SLC22A3",0,4.52859170779857,0.409,0.034,0
"CXXC5",0,1.88426588976914,0.705,0.335,0
"BMPER",0,-6.66505517734937,0.025,0.394,0
"MSRB3",0,-1.74658713564715,0.396,0.765,0
"DPY19L2",0,-2.24290926659511,0.216,0.585,0
"ADAMTSL1",0,-5.56220059027076,0.052,0.42,0
"PYGL",0,-2.11207642432994,0.288,0.655,0
"VEPH1",0,-3.73669795973304,0.052,0.418,0
"NIBAN1",0,2.29110195773307,0.55,0.185,0
"FRMD6",0,-4.52576161740472,0.185,0.549,0
"SCN8A",0,-5.71098255772364,0.029,0.393,0
"ZNF354C",0,-6.97144979295844,0.004,0.367,0
"THSD7A",0,-2.41677742349277,0.12,0.482,0
"COL4A5",0,-2.56448754382296,0.401,0.762,0
"SULF2",0,-2.30445032562313,0.362,0.723,0
"CFI",0,-5.04908369640355,0.032,0.393,0
"PRCP",0,-2.79603679694649,0.09,0.45,0
"SIM1",0,-5.47320122835111,0.037,0.396,0
"IGFBP4",0,-3.87796948236278,0.044,0.403,0
"MYH10",0,-2.73591463818068,0.121,0.48,0
"RNF150",0,-4.50469419833532,0.037,0.395,0
"GXYLT2",0,-2.10947567065514,0.199,0.557,0
"TGFB2",0,-4.12412641824494,0.111,0.469,0
"SHC3",0,-4.05567847931471,0.055,0.413,0
"ZNF804A",0,-7.35162022324142,0.025,0.383,0
"PDE4B",0,-3.91432789615446,0.091,0.448,0
"RERG",0,-3.5709091189001,0.055,0.41,0
"COL5A1",0,-4.59653462641061,0.042,0.396,0
"SLC22A15",0,-3.63878785765706,0.048,0.402,0
"SYNJ2",0,2.37117394717758,0.885,0.532,0
"GPR39",0,-2.47284098748173,0.275,0.628,0
"BBS9",0,-2.06269219570897,0.455,0.807,0
"COL1A1",0,-4.20052277557842,0.072,0.424,0
"DZIP1",0,-1.53142036589834,0.392,0.744,0
"TGM2",0,-2.4393551823206,0.483,0.835,0
"TANGO6",0,-1.96392529731927,0.322,0.673,0
"CCBE1",0,-7.28407560738434,0.014,0.365,0
"GRIN2A",0,-4.32294797656906,0.096,0.447,0
"DLG2",0,-2.61006710162191,0.172,0.522,0
"PDE1C",0,-4.43029127051266,0.141,0.491,0
"KANK1",0,-2.20872405635408,0.49,0.839,0
"NRK",0,-8.86974410348892,0.003,0.352,0
"ARL4C",0,1.79575618220594,0.903,0.555,0
"SLC35F1",0,-7.43293210606018,0.019,0.367,0
"MME",0,-5.76049404767337,0.03,0.378,0
"TWSG1",0,-2.62168067681443,0.282,0.629,0
"RRP12",0,1.61457771406032,0.768,0.423,0
"KCNIP4",0,-3.97710561134087,0.295,0.64,0
"LAMA4",0,-5.09096414430632,0.039,0.381,0
"RNLS",0,-2.44771298284886,0.146,0.488,0
"IL1R1",0,-2.50766829558743,0.101,0.442,0
"LAMA1",0,-2.67428896555533,0.132,0.472,0
