"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EFNA5",2.53164842240116e-160,4.25978114917717,0.999,0.454,4.38532139728329e-156
"KCNMA1",3.08373034553419e-156,3.96702911701726,0.997,0.465,5.34163770453432e-152
"KCNIP4",1.92085146491573e-141,-5.03010006156256,0.295,0.955,3.32729890752702e-137
"GPC6",2.18147904741173e-135,-2.96181224440335,0.626,0.972,3.7787580059266e-131
"GLIS1",1.82192641082515e-134,-8.01010868067639,0.024,0.809,3.15594092883133e-130
"DNAH11",2.39422635787899e-133,-2.31317063573012,0.756,0.995,4.147278897118e-129
"FHIT",6.85158951895622e-131,-3.6870019432969,0.408,0.944,1.1868323364736e-126
"MTCP1",4.88054298852111e-130,-6.71439623172264,0.07,0.825,8.45407656471627e-126
"VEGFA",8.25861340190548e-130,-2.18801289546846,0.915,0.992,1.43055701347807e-125
"CCND1",1.84819563991703e-120,-2.15314468193895,0.822,0.979,3.20144448746428e-116
"SPP1",1.05433924873467e-118,-2.87606583728267,0.725,0.968,1.8263264466582e-114
"PKHD1",5.0468313975526e-117,-4.55541332991016,0.169,0.825,8.74212134684061e-113
"NCAM1",2.09802692303601e-116,-3.1291526200989,0.547,0.929,3.63420223608298e-112
"STOX2",5.91360050933104e-115,-3.0416814532545,0.569,0.915,1.02435388022632e-110
"HMGA2",5.60488196497722e-114,3.76359711837712,0.912,0.24,9.70877653973353e-110
"ARID5B",1.07054939179419e-112,-3.51311142098814,0.495,0.9,1.85440565646589e-108
"RORA",1.24101073684876e-110,-2.57293695860727,0.747,0.954,2.14967879836943e-106
"LRMDA",3.89675497729265e-110,-2.63374248160554,0.594,0.939,6.74995897166632e-106
"IGF2BP2",8.13363563067548e-110,3.00447467040371,0.915,0.232,1.40890836394561e-105
"ATP11A",1.29504868226543e-109,-2.90396180129361,0.641,0.917,2.24328332742018e-105
"ENPEP",1.56520870381522e-108,-4.31135902872768,0.22,0.828,2.71125451674872e-104
"FGD6",3.77912516229544e-107,2.7374330431525,0.918,0.335,6.54620060612817e-103
"ALPK2",4.06364878636908e-107,-3.62796057943097,0.276,0.849,7.03905242774852e-103
"PROM1",9.47402855182355e-107,-3.12831158408853,0.319,0.879,1.64109122574687e-102
"PTPRD",2.66009700600787e-106,-3.44526446903436,0.335,0.856,4.60782003380683e-102
"KAZN",6.13773094116038e-106,-2.34118392889239,0.778,0.966,1.0631777536278e-101
"PABPC1",3.34205926990438e-104,1.88607299482802,0.977,0.649,5.78911506732836e-100
"IGF2",1.11789017126931e-102,7.71263151748604,0.646,0.008,1.93640935467269e-98
"C5orf46",1.25111510309014e-102,-5.73613122433339,0.051,0.71,2.16718158157275e-98
"ECE1",2.07212006309824e-102,3.30869701192029,0.847,0.265,3.58932637329877e-98
"ADGRG6",2.69691896853061e-102,4.01740823710052,0.83,0.203,4.67160303728872e-98
"CFI",2.67149791110831e-101,-6.14316831094492,0.032,0.683,4.62756868162182e-97
"ESRRG",1.94634021067075e-98,-4.35839676532972,0.176,0.791,3.37145051292388e-94
"NAV1",6.16568787213387e-95,3.76123661237112,0.83,0.23,1.06802045321103e-90
"COL23A1",1.41419361345896e-92,-3.31399162799006,0.28,0.806,2.44966617723361e-88
"CARD11",5.742857071791e-92,4.9484684769026,0.628,0.028,9.94777701975637e-88
"TTC28",6.03452915498088e-92,-2.33284464441375,0.589,0.903,1.04530114022579e-87
"NFIB",8.10926475094246e-91,-2.19317437435015,0.751,0.918,1.40468684015825e-86
"DCBLD2",1.38337620760391e-90,1.70508732819462,0.998,0.857,2.39628426681149e-86
"MT-CO1",5.11087252724131e-89,1.48860412412844,0.989,0.897,8.8530533916874e-85
"NFIA",3.82203090398728e-87,-2.22640916663076,0.599,0.878,6.62052193188677e-83
"CSPP1",6.95208800168239e-87,2.17924238551159,0.893,0.348,1.20424068365142e-82
"DOCK5",4.33104631557077e-86,2.48606850901554,0.856,0.319,7.50223842783168e-82
"SCIN",9.07579705499318e-86,-7.75661420967565,0.013,0.614,1.57210956586592e-81
"MET",1.52145847440074e-84,1.84243779212058,0.961,0.715,2.63547036935696e-80
"AFF3",3.63413549719972e-84,3.90537662560328,0.807,0.178,6.29504950824936e-80
"MT-ND4L",5.6912968362006e-84,3.00097534478129,0.776,0.165,9.85846437966668e-80
"LOXL2",1.421624351379e-83,2.61448393524303,0.845,0.302,2.4625377014587e-79
"TRIO",1.47760693755291e-83,1.30293313713711,0.999,0.944,2.55951073722916e-79
"CDK6",5.10397758583186e-83,1.71371246322482,0.99,0.744,8.84110997417796e-79
"MT-ND1",6.16852240143872e-82,2.02002115797255,0.912,0.439,1.06851145037721e-77
"NEDD4L",4.78088634723058e-81,-2.42198533537657,0.644,0.87,8.28145133067281e-77
"MAP1B",9.49488009775592e-81,2.50442810728914,0.852,0.292,1.64470313053328e-76
"EGLN3",1.19695929237242e-80,-1.87375696287479,0.821,0.928,2.07337288624751e-76
"OSBPL3",1.35689048777425e-80,2.39409778396228,0.887,0.398,2.35040570292255e-76
"SPTBN1",1.96044011099785e-80,1.25608707542282,0.991,0.835,3.39587436027047e-76
"MT-CO2",4.69733502693752e-80,2.08538586006282,0.926,0.54,8.13672373366117e-76
"PRKCA",6.02037883466696e-80,1.60169296480709,0.992,0.844,1.04285002174101e-75
"COL4A2",7.16653700847556e-80,2.40698197223933,0.891,0.366,1.24138754060814e-75
"SYNJ2",1.96084176216776e-79,2.35971186689235,0.885,0.327,3.39657010042699e-75
"YWHAZ",2.1315841344597e-79,1.53896749889144,0.959,0.604,3.69233003771109e-75
"SHISA9",1.97896188825211e-78,-3.56322658000242,0.289,0.777,3.4279577828303e-74
"MYOF",1.48734730867679e-77,1.6482386514184,0.966,0.708,2.57638300808994e-73
"CLU",3.01932604033292e-77,-1.79550545693378,0.912,0.947,5.23007656706468e-73
"BAIAP2L1",4.84106760393217e-77,2.92011272207654,0.761,0.171,8.38569730353131e-73
"IGF2BP3",6.29555021707621e-77,4.05970891878234,0.669,0.056,1.09051520860194e-72
"PTPRM",1.07339382573044e-76,-2.03734273223704,0.668,0.898,1.85933278493027e-72
"MACC1",1.40145675155132e-76,-2.78408482583912,0.406,0.845,2.4276033850372e-72
"FBXL7",1.66139743496597e-76,5.31634073212935,0.598,0.058,2.87787263684805e-72
"LRIG1",1.73394870007293e-76,-4.09611494368047,0.187,0.674,3.00354593826633e-72
"DOCK4",3.25410219574458e-76,2.11121490941439,0.945,0.672,5.63675582346876e-72
"TBL1XR1",3.31462609892722e-76,-1.56657822480808,0.92,0.932,5.74159532856174e-72
"KCTD16",4.03796944948436e-75,-3.81980382141006,0.142,0.651,6.99457068039681e-71
"SGIP1",8.15736170470277e-75,-4.49658359329747,0.115,0.637,1.41301819448861e-70
"TRHDE",2.57210343409415e-74,-3.73411947692496,0.172,0.696,4.45539756853789e-70
