"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PCSK5",3.22870779570411e-165,-5.62824325634168,0.17,0.983,5.59276764371866e-161
"ARHGEF38",1.74294801804181e-163,-6.60827304985623,0.056,0.949,3.01913455685202e-159
"NPNT",2.94694449772746e-159,-7.49070897835834,0.016,0.913,5.10469725896351e-155
"FAM83B",1.07026504649057e-154,-7.01942039972264,0.01,0.873,1.85391311353096e-150
"PROM1",1.37062520623764e-153,-4.27338584080635,0.227,0.99,2.37419698224483e-149
"PLAU",6.48167386941131e-152,-6.71919621524225,0.064,0.924,1.12275554765943e-147
"NIBAN1",1.44315383821749e-150,-4.78712348185956,0.185,0.959,2.49983107856033e-146
"CACNA2D3",2.09587273043443e-150,-4.03040338114566,0.292,0.976,3.63047074365853e-146
"LAMC2",4.74505492399918e-149,-5.46407162325797,0.173,0.952,8.21938413935139e-145
"ADGRF1",6.04575874826453e-149,-6.18209999840091,0.059,0.908,1.04724633037438e-144
"GDA",5.16818441588444e-148,-5.21601351660934,0.217,0.946,8.95232904519503e-144
"MAL2",9.10754648487442e-148,-5.12987459886174,0.083,0.92,1.57760920210995e-143
"KITLG",1.09944883412788e-146,-4.87338541157651,0.184,0.947,1.90446527047631e-142
"SPON1",1.59647717900087e-146,-4.53386043253445,0.224,0.954,2.76541776946531e-142
"AIF1L",2.98824005702177e-143,-4.69171549996936,0.069,0.894,5.17622942677312e-139
"MMP7",1.23581025135094e-142,-5.91568110780698,0.131,0.936,2.14067051739009e-138
"SLC34A2",2.02107180682514e-142,-7.3560667142443,0.012,0.863,3.50090058378251e-138
"DAPP1",9.3233060329022e-142,-8.47946895064195,0.011,0.855,1.61498307101932e-137
"LCN2",1.13671429064884e-139,-9.33514360038128,0.014,0.827,1.96901649426193e-135
"MECOM",6.60949736970164e-138,-3.18146397765612,0.578,0.989,1.14489713437972e-133
"PKHD1",3.17460674371521e-137,-3.14789406944669,0.409,0.994,5.49905380146349e-133
"GPC6",1.05268384630831e-136,3.90451706239347,0.963,0.481,1.82345895857526e-132
"RYR3",2.23026567934807e-135,-3.95361978586563,0.122,0.888,3.86326620976673e-131
"HS3ST1",1.4776578494947e-134,-5.53534863376186,0.059,0.848,2.55959892689471e-130
"NALF1",8.60371396011624e-134,-3.41931464838489,0.342,0.981,1.49033533217134e-129
"CDH2",1.57396598367028e-132,5.65883969732466,0.876,0.103,2.72642387691365e-128
"SAA1",2.70245649394167e-131,-8.09037730748732,0.012,0.795,4.68119513880576e-127
"SGPP2",3.02661754222305e-131,-3.21040139497345,0.401,0.968,5.24270690663877e-127
"LAMC1",7.63366505994928e-131,-2.0925909527097,0.853,0.997,1.32230346168442e-126
"ZEB2",8.87767819531624e-131,4.72889169611171,0.872,0.197,1.53779141699268e-126
"ADAMTS9",2.4971970999808e-130,-3.25783054793635,0.332,0.968,4.32564481658674e-126
"RBM47",5.25993171120573e-130,-3.08418770399519,0.351,0.965,9.11125371015057e-126
"FRAS1",1.28928214142845e-129,-2.89716104531905,0.226,0.942,2.23329452538236e-125
"EHF",1.12848711231204e-128,-5.43186203125668,0.074,0.846,1.95476537594691e-124
"KCNQ3",5.02592724652085e-127,-3.92776691604463,0.207,0.918,8.70591117642341e-123
"ERBB4",1.24181124929293e-126,-5.02700419718441,0.197,0.889,2.15106544602522e-122
