"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EFNA5",1.20377068243743e-135,3.68786879335037,0.973,0.454,2.08517157611812e-131
"DNAH11",6.86480409344743e-133,-2.26526086933672,0.643,0.995,1.18912136506696e-128
"CCND1",3.92550786150314e-130,-2.37546711225525,0.779,0.979,6.79976471769573e-126
"PROM1",4.93771780870159e-116,-3.93773592418214,0.227,0.879,8.55311478823289e-112
"EDIL3",4.77860975797577e-115,5.29566770652456,0.813,0.132,8.27750782276562e-111
"TENM3",1.25999241129032e-113,7.09691295363376,0.738,0.028,2.18255885483709e-109
"VEGFA",3.20894994673338e-113,-1.7275178150158,0.828,0.992,5.55854309773157e-109
"CLU",1.71780650848466e-105,-2.69501446622634,0.627,0.947,2.97558443399713e-101
"IGF2BP3",2.79260491227381e-104,4.96164935053948,0.725,0.056,4.83735022904069e-100
"TNS1",1.69010493428866e-100,-2.62123400549028,0.432,0.933,2.92759976717482e-96
"PDE10A",6.26011645467748e-100,5.07308918610759,0.721,0.073,1.08437737227923e-95
"PLEKHA1",5.34174165831633e-98,-2.11998327110265,0.705,0.954,9.25296490053554e-94
"ZBTB20",1.61947373639976e-92,-1.24800689602482,0.947,0.991,2.80525240619166e-88
"ALPK3",3.12743169977293e-90,-4.61253186706313,0.154,0.737,5.41733719034666e-86
"MMP16",2.57065500999757e-84,5.71789924222968,0.566,0.03,4.45288860831778e-80
"IGF2BP2",9.68255363327039e-82,2.85803164500975,0.805,0.232,1.6772119403551e-77
"RIPOR2",8.73976226852016e-81,-4.90256606808051,0.038,0.564,1.51390162015306e-76
"FBXL7",2.9705009218528e-80,5.36019149356628,0.602,0.058,5.14550169683342e-76
"VCAN",1.42500939106138e-79,1.99161481881086,0.939,0.613,2.46840126719653e-75
"RYR2",5.3439961451759e-79,5.63471064739492,0.597,0.047,9.25687012267369e-75
"MACC1",1.18459731488825e-78,-2.61995998238307,0.453,0.845,2.05195946884943e-74
"RANBP17",9.17509467281705e-77,4.75873812660627,0.556,0.04,1.58930989922537e-72
"SCIN",4.22092496927976e-76,-4.6906617825344,0.073,0.614,7.3114862317864e-72
"PKHD1",4.31495915707871e-75,-2.29097832402397,0.409,0.825,7.47437225189173e-71
"SPP1",6.56766727244652e-75,-1.7173721221976,0.6,0.968,1.13765132493319e-70
"VPS13B",1.20096806086365e-72,1.56587918062495,0.911,0.659,2.08031687502801e-68
"TSPAN5",6.22086233722889e-72,4.17567672020794,0.617,0.091,1.07757777405479e-67
"MSR1",7.5506838754792e-71,4.80411549309495,0.547,0.078,1.30792946091051e-66
"NALCN",4.34778878119194e-70,3.62602944585062,0.614,0.092,7.53123972678068e-66
"NRCAM",3.14601521029993e-69,-2.94389646801966,0.197,0.705,5.44952754728154e-65
"TPD52",5.06824182311321e-69,2.36844019697603,0.729,0.234,8.7792084859967e-65
"JCAD",5.72471303947387e-68,5.00519534945597,0.512,0.01,9.91634792697663e-64
"GNGT1",1.19647569521086e-67,5.60420462888827,0.575,0.063,2.07253519924426e-63
"PTPRF",1.41251837433659e-66,2.11512533456244,0.764,0.296,2.44676432802584e-62
"NAV1",1.50436511290806e-66,3.04716246474965,0.702,0.23,2.60586124857935e-62
"JAKMIP2",2.01903314658467e-66,3.88382695767066,0.542,0.046,3.49736921651396e-62
"FHIT",3.82201416327721e-66,-1.3866868844016,0.807,0.944,6.62049293362879e-62
"TMTC2",5.48508188831006e-66,-1.72104392595388,0.7,0.887,9.50125884693069e-62
"STOX2",6.35019680289797e-66,-1.56309624974843,0.777,0.915,1.09998109019799e-61
"CSGALNACT1",8.4887881792179e-66,4.29660000147864,0.485,0.029,1.47042788840412e-61
"CFH",2.97631948958133e-65,2.92325237240218,0.607,0.132,5.15558061985278e-61
"ASPH",4.14688555609122e-65,1.56957187958413,0.898,0.705,7.18323516026121e-61
"VEGFC",1.8353789171815e-64,4.45957765171292,0.512,0.071,3.17924336034179e-60
"ARID5B",1.72272840920602e-63,-1.88362694990507,0.794,0.9,2.98411015042667e-59
"DENND2A",8.68762347889598e-63,4.23418762394651,0.56,0.063,1.50487013901436e-58
"DPYSL3",9.40407673915319e-63,2.92729189994824,0.627,0.121,1.62897417275612e-58
