"","x"
"1","TSPAN6"
"2","DPM1"
"3","SCYL3"
"4","CFH"
"5","FUCA2"
"6","GCLC"
"7","NFYA"
"8","STPG1"
"9","NIPAL3"
"10","LAS1L"
"11","ENPP4"
"12","SEMA3F"
"13","CFTR"
"14","ANKIB1"
"15","CYP51A1"
"16","KRIT1"
"17","RAD52"
"18","BAD"
"19","LAP3"
"20","CD99"
"21","HS3ST1"
"22","AOC1"
"23","WNT16"
"24","HECW1"
"25","MAD1L1"
"26","LASP1"
"27","SNX11"
"28","TMEM176A"
"29","M6PR"
"30","KLHL13"
"31","CYP26B1"
"32","ICA1"
"33","DBNDD1"
"34","ALS2"
"35","CASP10"
"36","CFLAR"
"37","TFPI"
"38","NDUFAF7"
"39","RBM5"
"40","MTMR7"
"41","SLC7A2"
"42","ARF5"
"43","SARM1"
"44","POLDIP2"
"45","PLXND1"
"46","AK2"
"47","FKBP4"
"48","KDM1A"
"49","RBM6"
"50","CAMKK1"
"51","RECQL"
"52","VPS50"
"53","ARHGAP33"
"54","NDUFAB1"
"55","PDK4"
"56","SLC22A16"
"57","ZMYND10"
"58","ABCB5"
"59","SLC25A13"
"60","ST7"
"61","CDC27"
"62","CALCR"
"63","HCCS"
"64","DVL2"
"65","PRSS22"
"66","UPF1"
"67","SKAP2"
"68","SLC25A5"
"69","MCUB"
"70","HOXA11"
"71","POLR2J"
"72","DHX33"
"73","THSD7A"
"74","LIG3"
"75","RPAP3"
"76","ACSM3"
"77","REXO5"
"78","CIAPIN1"
"79","SPPL2B"
"80","ATOSB"
"81","COPZ2"
"82","PRKAR2B"
"83","MSL3"
"84","CREBBP"
"85","TSPOAP1"
"86","GCFC2"
"87","WDR54"
"88","CROT"
"89","ABCB4"
"90","KMT2E"
"91","RHBDD2"
"92","IBTK"
"93","ZNF195"
"94","MYCBP2"
"95","FBXL3"
"96","ITGAL"
"97","PDK2"
"98","ITGA3"
"99","ZFX"
"100","LAMP2"
"101","ITGA2B"
"102","GDE1"
"103","REX1BD"
"104","CRLF1"
"105","OSBPL7"
"106","TMEM98"
"107","MAP3K14"
"108","TMEM132A"
"109","AP2B1"
"110","ZNF263"
"111","CX3CL1"
"112","SPATA20"
"113","TNFRSF12A"
"114","MAP3K9"
"115","RALA"
"116","BAIAP2L1"
"117","KDM7A"
"118","ETV1"
"119","AGK"
"120","ALDH3B1"
"121","TTC22"
"122","PHTF2"
"123","FARP2"
"124","GGCT"
"125","DBF4"
"126","TBXA2R"
"127","IFRD1"
"128","COX10"
"129","GTF2IRD1"
"130","PAF1"
"131","VPS41"
"132","ARHGAP44"
"133","ELAC2"
"134","SCIN"
"135","ARSD"
"136","PNPLA4"
"137","ADIPOR2"
"138","CDKL3"
"139","UPP2"
"140","MARK4"
"141","PROM1"
"142","CCDC124"
"143","PAFAH1B1"
"144","DNAH9"
"145","BLTP2"
"146","GAS7"
"147","TRAPPC6A"
"148","ST7L"
"149","RPUSD1"
"150","RHBDF1"
"151","LUC7L"
"152","BAIAP3"
"153","TSR3"
"154","PIGQ"
"155","CRAMP1"
"156","TEAD3"
"157","DNAJC11"
"158","MYLIP"
"159","E2F2"
"160","PSMB1"
"161","SYN1"
"162","JARID2"
"163","CDKL5"
"164","CDK11A"
"165","NADK"
"166","TFAP2B"
"167","DLEC1"
"168","CYTH3"
"169","ADAM22"
"170","SYPL1"
"171","CYB561"
"172","SPAG9"
"173","CELSR3"
"174","AASS"
"175","PLEKHG6"
"176","SS18L2"
"177","MPND"
"178","MGST1"
"179","CRY1"
"180","NFIX"
"181","ST3GAL1"
"182","MMP25"
"183","IL32"
"184","PKD1"
"185","MAPK8IP2"
"186","MED24"
"187","RHOBTB2"
"188","HEATR5B"
"189","SEC62"
"190","RPS20"
"191","CSDE1"
"192","UBE3C"
