name,K1040_GE1_CTRL_mean_score,K1040_GE1_mean_score,K1040_GE1_CTRL_K1040_GE1_change,K1040_GE1_CTRL_K1040_GE1_pvalue,K1040_GE1_CTRL_K1040_GE1_highlighted
Arnt,0.25955,0.29154,-0.10652,2.16281E-115,FALSE
PAX6,0.18537,0.19682,0.05831,1.03651E-92,FALSE
RORA,0.15611,0.17586,-0.02299,2.04607E-60,FALSE
RXRA::VDR,0.1799,0.19845,-0.01253,4.14302E-27,FALSE
REL,0.22921,0.24455,0.02854,2.02672E-69,FALSE
RELA,0.21746,0.23383,0.00962,8.49548E-35,FALSE
NR1H2::RXRA,0.16924,0.19109,-0.03932,8.64460E-83,FALSE
Znf423,0.2218,0.23613,-0.01376,1.59179E-40,FALSE
NFIC::TLX1,0.20918,0.21452,0.14579,3.32038E-137,TRUE
ZNF354C,0.16749,0.18309,-0.02083,2.59826E-70,FALSE
Pou5f1::Sox2,0.13433,0.14469,0.05827,1.52405E-110,FALSE
EWSR1-FLI1,0.20932,0.22847,-0.02948,2.09486E-96,FALSE
Arid3a,0.12366,0.13315,0.06161,4.71728E-125,FALSE
INSM1,0.22148,0.23688,-0.01129,1.00600E-46,FALSE
RARA::RXRA,0.18848,0.21187,-0.07145,2.14116E-115,FALSE
PLAG1,0.23401,0.24932,-0.01736,3.13224E-66,FALSE
Tfcp2l1,0.24908,0.26727,-0.03501,4.31856E-87,FALSE
DUX4,0.14639,0.16021,0.02111,9.05481E-57,FALSE
Sox6,0.16547,0.19,-0.06241,1.47828E-118,FALSE
ESR2,0.19556,0.22476,-0.11988,2.28762E-133,FALSE
SREBF1,0.19399,0.2211,-0.09314,3.74546E-120,FALSE
SREBF2,0.18646,0.21115,-0.07676,2.23320E-108,FALSE
KLF5,0.32621,0.3508,-0.06451,1.45246E-135,FALSE
Atf1,0.34051,0.37579,-0.05393,1.03417E-60,FALSE
Creb3l2,0.29255,0.32516,-0.0979,1.25730E-102,FALSE
FOXG1,0.15938,0.17843,-0.01066,1.01475E-33,FALSE
Foxj2,0.14901,0.16917,-0.02168,4.07816E-59,FALSE
BHLHE41,0.27731,0.31446,-0.13834,1.03947E-104,FALSE
ELF4,0.32402,0.34979,-0.02362,1.17122E-60,FALSE
FOXI1,0.1819,0.20184,-0.00871,3.32656E-24,FALSE
FOXL1,0.1819,0.20184,-0.00871,3.32656E-24,FALSE
HNF1B,0.16999,0.19882,-0.12044,1.13517E-138,FALSE
HSF1,0.15883,0.1747,0.00149,8.23182E-03,FALSE
IRF9,0.16029,0.17604,-0.0168,8.53127E-47,FALSE
JDP2,0.22569,0.31297,-0.46717,4.25680E-200,TRUE
MEF2B,0.11807,0.12754,0.05247,3.94154E-93,FALSE
MLX,0.27286,0.30465,-0.10331,4.00741E-94,FALSE
MSC,0.18052,0.19907,-0.02453,1.14168E-67,FALSE
MYF6,0.16903,0.18717,-0.00807,7.48903E-17,FALSE
NEUROG2,0.15316,0.16629,0.00147,6.78691E-01,FALSE
Nr2e1,0.14554,0.16011,0.02054,2.14446E-61,FALSE
OLIG2,0.12924,0.1341,0.08783,5.80907E-97,FALSE
PAX4,0.13314,0.15457,-0.05238,1.20861E-59,FALSE
Rxra,0.18135,0.20211,-0.03339,3.25381E-77,FALSE
SRF,0.17399,0.1852,0.05023,1.20817E-69,FALSE
TBXT,0.15909,0.18153,-0.0833,1.00551E-91,FALSE
TBX20,0.1559,0.17571,-0.06555,7.61285E-109,FALSE
