name,K1030_GE5_CTRL_mean_score,K1030_GE5_mean_score,K1030_GE5_CTRL_K1030_GE5_change,K1030_GE5_CTRL_K1030_GE5_pvalue,K1030_GE5_CTRL_K1030_GE5_highlighted
Arnt,0.2829,0.31451,0.03793,5.31563E-75,FALSE
PAX6,0.14471,0.18682,-0.07042,5.23884E-92,FALSE
RORA,0.12625,0.17586,-0.17313,2.04804E-145,FALSE
RXRA::VDR,0.15862,0.19313,-0.05592,1.21433E-83,FALSE
REL,0.21321,0.24476,0.01556,7.12205E-40,FALSE
RELA,0.20157,0.23195,0.03042,2.29477E-79,FALSE
NR1H2::RXRA,0.13966,0.18704,-0.14015,9.40958E-134,FALSE
Znf423,0.21315,0.24968,-0.05371,2.47394E-101,FALSE
NFIC::TLX1,0.17415,0.22269,-0.1096,8.31724E-133,FALSE
ZNF354C,0.14436,0.18472,-0.09647,1.05095E-127,FALSE
Pou5f1::Sox2,0.09904,0.14202,-0.1832,1.13489E-157,FALSE
EWSR1-FLI1,0.20091,0.23174,0.01454,7.14357E-66,FALSE
Arid3a,0.08844,0.13063,-0.20559,1.67063E-177,FALSE
INSM1,0.22289,0.24676,0.04569,1.02521E-99,FALSE
RARA::RXRA,0.1721,0.20981,-0.04513,2.47315E-96,FALSE
PLAG1,0.24832,0.26239,0.10523,4.46409E-146,FALSE
Tfcp2l1,0.2409,0.26936,0.00287,1.99417E-04,FALSE
DUX4,0.11381,0.16076,-0.2025,1.33392E-148,FALSE
Sox6,0.14549,0.1784,0.01826,1.41742E-58,FALSE
ESR2,0.1847,0.22979,-0.09485,5.05021E-131,FALSE
SREBF1,0.19202,0.23531,-0.07739,9.36630E-115,FALSE
SREBF2,0.17073,0.21721,-0.107,3.27643E-129,FALSE
KLF5,0.35817,0.37682,0.07739,1.38596E-145,FALSE
Atf1,0.38944,0.42254,0.05502,6.22686E-63,FALSE
Creb3l2,0.31833,0.34926,0.05152,2.08171E-72,FALSE
FOXG1,0.12649,0.16458,-0.07472,2.34999E-115,FALSE
Foxj2,0.12757,0.1654,-0.07508,1.63326E-119,FALSE
BHLHE41,0.31746,0.34464,0.01616,2.53317E-30,FALSE
ELF4,0.31938,0.35774,-0.04651,1.19070E-84,FALSE
FOXI1,0.12522,0.16574,-0.09918,6.42824E-126,FALSE
FOXL1,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
HNF1B,0.10356,0.17967,-0.43692,6.10639E-187,TRUE
HSF1,0.12433,0.1632,-0.16493,5.41763E-142,FALSE
IRF9,0.13794,0.1721,-0.0501,8.97684E-91,FALSE
JDP2,0.22236,0.3167,-0.32536,5.38655E-190,TRUE
MEF2B,0.09692,0.1299,-0.09893,1.44413E-131,FALSE
MLX,0.29322,0.32546,0.01688,5.62857E-26,FALSE
MSC,0.15393,0.19574,-0.08941,1.41224E-116,FALSE
MYF6,0.13814,0.18121,-0.12167,4.70572E-123,FALSE
NEUROG2,0.11595,0.1623,-0.18368,1.00150E-140,FALSE
Nr2e1,0.11584,0.15965,-0.15542,1.49838E-152,FALSE
OLIG2,0.09497,0.13414,-0.17941,6.17082E-127,FALSE
PAX4,0.10631,0.15229,-0.18398,8.27917E-127,FALSE
Rxra,0.15175,0.19822,-0.12657,1.65425E-133,FALSE
SRF,0.13855,0.18468,-0.16482,1.18386E-116,FALSE
TBXT,0.13548,0.18043,-0.13023,1.32188E-117,FALSE
TBX20,0.13168,0.17364,-0.13226,5.04380E-129,FALSE
TFAP4,0.17199,0.22008,-0.09549,1.32510E-120,FALSE
ZIC1,0.29838,0.31904,0.05725,3.54099E-105,FALSE
PHOX2A,0.08365,0.127,-0.23467,5.11424E-151,FALSE
PROP1,0.0784,0.11974,-0.23729,2.16340E-158,FALSE
VENTX,0.12003,0.16769,-0.16919,9.29463E-127,FALSE
Nr2F6,0.12293,0.16559,-0.13172,8.38183E-144,FALSE
RARA,0.11864,0.163,-0.14808,3.13405E-139,FALSE
RARA,0.16827,0.21196,-0.09326,2.11230E-119,FALSE
BCL6B,0.13849,0.18079,-0.11731,9.96872E-128,FALSE
EGR2,0.4087,0.40018,0.29135,9.13669E-162,TRUE
