name,K1022N1_GN1_mean_score,K1030N1_GN1_mean_score,K1040N1_GN1_mean_score,K1063N1_GN1_mean_score,K1065N1_GN1_mean_score,K1013T2_GB1_mean_score,K1030T1_GB1_mean_score,K1030T2_GB1_mean_score,K1030T3_GB1_mean_score,K1063T1_GB1_mean_score,K1063T2_GB1_mean_score,K1184T1_GA1_mean_score,K1040T1_GB1_mean_score,K1022T1_GB1_mean_score
ZBTB33,0.32995,0.32107,0.38907,0.30693,0.34474,0.48279,0.3805,0.51554,0.44114,0.33803,0.35971,0.20535,0.44616,0.33317
KLF15,0.31124,0.28629,0.41328,0.30719,0.33155,0.5035,0.3594,0.56057,0.45863,0.32029,0.34739,0.20142,0.43478,0.32625
ETV5,0.3267,0.33351,0.37919,0.2992,0.32919,0.48554,0.35336,0.43063,0.45602,0.32124,0.32846,0.18223,0.42926,0.33427
ELK3,0.33523,0.33857,0.38962,0.30732,0.33865,0.49749,0.36502,0.44561,0.46355,0.32942,0.33843,0.18859,0.42558,0.34522
ZBED4,0.30818,0.27778,0.40652,0.30388,0.32881,0.49326,0.35687,0.55174,0.44225,0.31735,0.34546,0.19381,0.41258,0.33619
Nrf1,0.31346,0.29408,0.38445,0.30113,0.32959,0.46035,0.34041,0.46852,0.41442,0.30559,0.3241,0.17702,0.39735,0.31605
ZNF610,0.27745,0.25092,0.36201,0.27021,0.2906,0.43062,0.32074,0.47382,0.39263,0.27926,0.29902,0.16307,0.38405,0.29244
TFDP1,0.27894,0.26705,0.35483,0.26625,0.2889,0.43712,0.32481,0.45814,0.40607,0.28283,0.30031,0.16574,0.38131,0.29622
ETV4,0.28693,0.30107,0.34606,0.26253,0.29264,0.44029,0.30888,0.37469,0.4127,0.28087,0.28311,0.16148,0.37698,0.28801
ZNF417,0.26934,0.2573,0.3364,0.24961,0.27775,0.3996,0.30631,0.40995,0.40593,0.26112,0.26511,0.13949,0.37295,0.28883
HINFP,0.27985,0.25273,0.35134,0.26592,0.28911,0.42238,0.32541,0.45696,0.39011,0.28143,0.30121,0.1595,0.36643,0.29214
TCFL5,0.30344,0.26398,0.36368,0.28865,0.30611,0.43929,0.32309,0.47713,0.40672,0.2888,0.3117,0.17089,0.36393,0.28997
ZBTB14,0.28261,0.25758,0.35403,0.26702,0.28915,0.41667,0.30608,0.44339,0.38963,0.26742,0.2843,0.15815,0.36274,0.28073
SP2,0.24695,0.24972,0.33393,0.23739,0.2613,0.40674,0.28204,0.41837,0.38234,0.24614,0.2594,0.15768,0.36109,0.28414
Foxn1,0.25923,0.24234,0.33183,0.24408,0.26788,0.38697,0.29519,0.40167,0.36099,0.25286,0.26622,0.14154,0.35709,0.26737
Zbtb2,0.26458,0.27499,0.32704,0.24274,0.26955,0.40148,0.29026,0.36006,0.3812,0.25878,0.26067,0.14661,0.35402,0.26686
KLF12,0.24561,0.24621,0.33201,0.23575,0.26154,0.40153,0.28017,0.42002,0.37725,0.24362,0.25787,0.15797,0.35143,0.26564
KLF7,0.24621,0.2488,0.33795,0.23671,0.26209,0.39897,0.27596,0.41741,0.37769,0.24175,0.25546,0.15972,0.34693,0.26371
ELK1,0.2873,0.30218,0.34502,0.26221,0.29208,0.43858,0.30571,0.37076,0.41106,0.27955,0.28088,0.16061,0.34189,0.27143
FEV,0.27041,0.28699,0.32799,0.24599,0.27349,0.41611,0.28644,0.34603,0.39094,0.26276,0.26102,0.15092,0.34052,0.27057
ZNF93,0.24971,0.22603,0.32443,0.23604,0.25397,0.37344,0.27562,0.39503,0.34386,0.23865,0.2503,0.13275,0.33585,0.26269
SP9,0.24357,0.24563,0.32967,0.23228,0.25644,0.39461,0.27229,0.41377,0.37764,0.23773,0.25033,0.15611,0.33155,0.25484
YY2,0.25868,0.24036,0.29607,0.23027,0.25895,0.37376,0.27317,0.36386,0.37319,0.23979,0.25392,0.14006,0.32988,0.24329
PATZ1,0.2194,0.2177,0.30487,0.21188,0.23198,0.36939,0.25506,0.38526,0.33959,0.2213,0.23341,0.1386,0.32536,0.25345
E2F8,0.23062,0.22813,0.29366,0.21694,0.23609,0.36302,0.26369,0.36353,0.3429,0.22717,0.23732,0.13042,0.3247,0.2504
EGR2,0.26942,0.23504,0.32923,0.24833,0.25054,0.35993,0.25523,0.38414,0.33813,0.22274,0.23045,0.13261,0.3213,0.23771
EGR3,0.25749,0.2311,0.32767,0.24288,0.25019,0.38038,0.26709,0.40975,0.35157,0.23258,0.24674,0.14176,0.32081,0.24451
SP3,0.23487,0.24394,0.32333,0.22372,0.24991,0.37613,0.25903,0.38988,0.36598,0.22522,0.2349,0.14929,0.32047,0.23942
Zfp961,0.21684,0.20307,0.28664,0.20509,0.22621,0.3419,0.25461,0.36129,0.32927,0.212,0.22128,0.11488,0.31732,0.24184
EGR1,0.24389,0.2223,0.31446,0.22965,0.23721,0.36078,0.25213,0.38663,0.33688,0.21895,0.22975,0.13468,0.31687,0.23936
SP1,0.21943,0.22371,0.30482,0.21057,0.23288,0.36966,0.25439,0.37805,0.34614,0.21993,0.23029,0.13793,0.31434,0.23967
KLF10,0.21832,0.22707,0.30584,0.20868,0.23334,0.36284,0.2486,0.37186,0.34534,0.21484,0.22403,0.142,0.31193,0.22954
ETS2,0.225,0.24676,0.2889,0.20546,0.23072,0.35873,0.24299,0.29017,0.34335,0.21806,0.21425,0.12471,0.31083,0.23421
KLF6,0.23371,0.24252,0.32581,0.22135,0.2472,0.36352,0.24802,0.37283,0.34962,0.21755,0.22489,0.14398,0.30953,0.23129
ZBTB11,0.22226,0.25045,0.29383,0.20451,0.23134,0.34806,0.24016,0.29151,0.3294,0.21262,0.20931,0.12078,0.30579,0.22947
ZNF148,0.1974,0.20349,0.28017,0.18898,0.21047,0.34338,0.23305,0.34746,0.31515,0.2005,0.20918,0.12647,0.30498,0.23498
KLF2,0.21641,0.22177,0.30648,0.20699,0.23082,0.35014,0.24013,0.36563,0.33191,0.20833,0.21747,0.13754,0.30481,0.23244
KLF11,0.22241,0.22944,0.30653,0.20989,0.2322,0.3495,0.23842,0.35766,0.33869,0.20762,0.21412,0.13609,0.30309,0.23035
ETV3,0.22886,0.24946,0.29228,0.20645,0.23089,0.34775,0.23452,0.28043,0.32668,0.2158,0.20879,0.12171,0.30127,0.23052
KLF3,0.24049,0.24367,0.32856,0.22892,0.25779,0.36466,0.25983,0.38628,0.35485,0.2275,0.23605,0.14668,0.30047,0.23472
ETV7,0.1882,0.22623,0.26282,0.1726,0.19685,0.29722,0.19484,0.23326,0.28084,0.17363,0.1641,0.09915,0.29751,0.24046
KLF16,0.21026,0.21924,0.29353,0.19917,0.22218,0.34684,0.23539,0.35355,0.33623,0.20322,0.20975,0.13332,0.29717,0.21549
EGR4,0.22213,0.20608,0.29415,0.2093,0.21895,0.34274,0.23714,0.36041,0.31868,0.20499,0.21418,0.12665,0.29601,0.21833
ZNF454,0.20906,0.20261,0.28767,0.19675,0.21708,0.32472,0.234,0.3283,0.30018,0.1977,0.20471,0.11423,0.29514,0.2215
NFYB,0.20849,0.22426,0.28416,0.18642,0.21552,0.30769,0.21586,0.27288,0.32917,0.1903,0.17579,0.11078,0.29373,0.22147
FLI1,0.23907,0.25748,0.29965,0.21603,0.23998,0.37026,0.24634,0.29504,0.35162,0.22779,0.2225,0.13144,0.29337,0.22978
KLF14,0.21579,0.22585,0.303,0.20572,0.22952,0.35604,0.24256,0.36132,0.33898,0.21047,0.21803,0.1387,0.28789,0.22506
SP4,0.2046,0.21846,0.28892,0.19393,0.21739,0.3404,0.2295,0.3362,0.32471,0.19816,0.20321,0.12695,0.28778,0.22722
E2F6,0.20111,0.20849,0.27702,0.18995,0.20658,0.32649,0.2289,0.31972,0.30788,0.19929,0.20269,0.11435,0.28778,0.21575
E2F4,0.21354,0.21282,0.26417,0.18669,0.21055,0.31783,0.23872,0.31108,0.34238,0.20266,0.19832,0.10419,0.28625,0.22258
