"","p_val","avg_diff","pct.1","pct.2","p_val_adj"
"GAPDH",0,-0.930255843185726,0.311,0.779,0
"CRYAB",0,-0.919851847521147,0.271,0.738,0
"FTL",0,-0.89141628957094,0.32,0.782,0
"GSTP1",0,-0.923049746961224,0.248,0.71,0
"NDUFA4L2",0,-0.925526868645999,0.313,0.77,0
"RPS12",0,-0.949246230821288,0.298,0.752,0
"FOS",0,-0.966995209150637,0.152,0.59,0
"RPLP1",0,-0.886976921924938,0.331,0.765,0
"JUND",0,-0.983269664821914,0.173,0.596,0
"RPS16",0,-0.865596594939914,0.318,0.737,0
"PLIN2",0,-0.920484703522059,0.267,0.684,0
"ADIRF",0,-0.737424783556432,0.19,0.599,0
"RPS19",0,-0.881354467155463,0.333,0.742,0
"VIM",0,-0.825199311371298,0.339,0.747,0
"FKBP5",0,0.924247255444516,0.676,0.283,0
"JUN",0,-0.895726030102862,0.28,0.666,0
"CTTNBP2",0,1.11415522289526,0.627,0.243,0
"IER2",0,-0.801097042025865,0.179,0.563,0
"SERPINA1",0,-0.738078585725718,0.231,0.614,0
"KRT18",0,-0.864416040052381,0.317,0.699,0
"EGR1",0,-0.768613079672874,0.164,0.54,0
"CCND1",0,-0.835043014225254,0.255,0.629,0
"HSP90AA1",0,-0.808615931244085,0.321,0.691,0
"NRG3",0,0.991516740865606,0.525,0.159,0
"LDHB",0,-0.774581188631174,0.274,0.637,0
"GNG11",0,-0.68250504332749,0.155,0.516,0
"CALM1",0,-0.768575277283736,0.261,0.622,0
"LGALS3",0,-0.73825584102043,0.25,0.606,0
"WFDC2",0,-0.751778774868418,0.164,0.516,0
"HMOX1",0,-0.677156604724441,0.109,0.459,0
"TSPAN1",0,-0.799320107131909,0.103,0.443,0
"IGFBP3",0,-0.715382779969324,0.185,0.513,0
"MT-ATP6",0,-0.761691132523615,0.317,0.642,0
"TMSB10",1.0691142892412e-305,-0.69658487248118,0.386,0.774,2.1382285784824e-302
"STAT1",4.21838021614714e-302,0.836281882999686,0.644,0.255,8.43676043229428e-299
"CLTRN",4.67612598035347e-301,-0.643382065660411,0.069,0.395,9.35225196070695e-298
"RPS4Y1",1.08258425958729e-298,-0.710755569311444,0.073,0.383,2.16516851917458e-295
"FTH1",4.70713415459778e-298,-0.802187257238208,0.306,0.753,9.41426830919556e-295
"MT-CYB",7.65761594639013e-296,-0.736764931608588,0.308,0.648,1.53152318927803e-292
"MARCKS",1.93040014171978e-295,-0.585415763346131,0.099,0.425,3.86080028343957e-292
"PLXDC2",5.88757575709737e-295,0.960746655820395,0.546,0.192,1.17751515141947e-291
"RHEX",2.58645119131474e-282,0.900055826363723,0.577,0.204,5.17290238262948e-279
"NR2F1",3.30951175705239e-280,-0.483939049365831,0.015,0.261,6.61902351410477e-277
"HSPA1A",3.13634581596301e-277,-0.653698450734645,0.224,0.55,6.27269163192601e-274
"DEPP1",4.93018754515609e-277,-0.570554595539652,0.108,0.412,9.86037509031218e-274
"JUNB",6.65786513905303e-276,-0.678689252908883,0.23,0.604,1.33157302781061e-272
"ANK2",8.00247015029773e-276,1.18365328362267,0.485,0.166,1.60049403005955e-272
"TENM2",2.52488765920305e-271,1.17148833576627,0.342,0.057,5.04977531840611e-268
"GDF15",1.59191120923076e-268,-0.652669122998868,0.144,0.452,3.18382241846151e-265
"MT-ND4",5.42815368062907e-264,-0.687511992689288,0.32,0.633,1.08563073612581e-260
"IGFBP5",8.12480133734473e-260,-0.434883550678978,0.03,0.25,1.62496026746895e-256
"TMEM91",7.18153498407955e-257,-0.568800918094291,0.172,0.473,1.43630699681591e-253
"ATF3",1.00481069875764e-255,-0.642987100472463,0.16,0.454,2.00962139751528e-252
"SMIM24",1.28759965739022e-255,-0.679528702196299,0.139,0.442,2.57519931478043e-252
"PPP1R15A",1.8143018991891e-255,-0.622867211599683,0.202,0.523,3.62860379837819e-252
"NUPR1",6.73798007428868e-255,-0.608453330232363,0.2,0.548,1.34759601485773e-251
"SLC25A5",8.25799278493759e-255,-0.577743179666805,0.162,0.475,1.65159855698752e-251
"PPP1R14B",2.585391939658e-254,-0.583767714931104,0.122,0.437,5.170783879316e-251
"MT1F",1.58945739334499e-253,-0.559456160751602,0.12,0.418,3.17891478668998e-250
"CES2",1.39915076372464e-252,-0.61800722771624,0.173,0.481,2.79830152744928e-249
"KRT8",9.77928694316032e-252,-0.662129402093871,0.336,0.651,1.95585738863206e-248
"MT-CO2",9.59257520814274e-251,-0.656153210274461,0.34,0.646,1.91851504162855e-247
"DUSP1",5.6863210220871e-250,-0.810982123508404,0.282,0.683,1.13726420441742e-246
"LGALS2",6.80916766218675e-249,-0.637760496309641,0.18,0.491,1.36183353243735e-245
"GNAS",6.41262653519565e-248,-0.661782425869867,0.334,0.628,1.28252530703913e-244
"AGT",4.30077243407819e-247,-0.609583497130444,0.048,0.304,8.60154486815638e-244
"REG1A",9.05032554938396e-247,-0.608832857130316,0.042,0.282,1.81006510987679e-243
"MT-ND5",3.91080779387018e-246,-0.64295283585711,0.307,0.598,7.82161558774036e-243
"GRM8",9.36250162327081e-243,0.946428525290281,0.415,0.134,1.87250032465416e-239
"FOSB",1.34411023702182e-240,-0.562472764493776,0.153,0.455,2.68822047404364e-237
"RARRES2",2.05396994517618e-239,-0.632405828130602,0.389,0.692,4.10793989035237e-236
"TUBB4B",9.34526047979625e-239,-0.606567561530159,0.199,0.511,1.86905209595925e-235
"ACTG1",6.81786142244067e-238,-0.653655984849937,0.375,0.69,1.36357228448813e-234
"MT-ND3",4.13520841769542e-236,-0.630392726235974,0.351,0.655,8.27041683539085e-233
"GSTM3",9.82456767158288e-236,-0.544203936184252,0.05,0.287,1.96491353431658e-232
"CLDN7",1.49691586315642e-235,-0.611431036723953,0.138,0.431,2.99383172631283e-232
"RALYL",5.60554788025055e-235,1.0127104797317,0.361,0.086,1.12110957605011e-231
"MT-CO3",5.90974558628353e-235,-0.650734473578201,0.329,0.644,1.18194911725671e-231
"HILPDA",1.30868451992875e-229,-0.63833511740336,0.34,0.623,2.6173690398575e-226
"ADM",2.82750460517473e-225,-0.561364148856695,0.252,0.551,5.65500921034946e-222
"NMB",6.13062972564061e-225,-0.442736810655853,0.087,0.348,1.22612594512812e-221
"RHOB",1.11006986455037e-224,-0.645103920879478,0.302,0.63,2.22013972910074e-221
"HEBP2",1.59778759611166e-224,-0.584317493528638,0.147,0.452,3.19557519222332e-221
"KISS1R",6.43021055343349e-222,-0.402873237484062,0.03,0.254,1.2860421106867e-218
"TAF10",4.27692035254161e-221,-0.524222807538072,0.059,0.318,8.55384070508321e-218
"PHLDA3",5.7102558052699e-221,-0.474735662673774,0.074,0.33,1.14205116105398e-217
"MT-ND1",7.2957300086141e-221,-0.635001130233559,0.313,0.626,1.45914600172282e-217
"PPIB",2.89146550872856e-220,-0.620556757450329,0.298,0.619,5.78293101745712e-217
"GRIA4",1.91726128069806e-219,0.928352378775272,0.307,0.063,3.83452256139612e-216
"MACROD2",4.33949247585992e-219,0.954786784645911,0.323,0.069,8.67898495171984e-216
"TXN",7.73773035046384e-216,-0.6125415089082,0.343,0.669,1.54754607009277e-212
"HSP90B1",2.64062521353376e-215,-0.587584471938846,0.406,0.663,5.28125042706752e-212
"PTGER3",3.73570017409386e-210,0.919469383594556,0.467,0.195,7.47140034818772e-207
"AKR1B1",1.00937551724869e-209,-0.560389472052762,0.164,0.446,2.01875103449737e-206
"PTN",1.67442371590232e-209,-0.550787561048024,0.029,0.241,3.34884743180464e-206
"DNAJB1",1.79407837675405e-208,-0.549478012414543,0.231,0.523,3.5881567535081e-205
