"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ANK2",0,4.51837192351504,0.486,0.046,0
"PBX1",0,3.77451829932677,0.452,0.048,0
"GNGT1",0,1.88224963205993,0.644,0.258,0
"MAGI2",0,4.90475648038865,0.417,0.046,0
"ADCY2",0,5.58067517548338,0.379,0.015,0
"NRG3",0,2.00826878520196,0.527,0.168,0
"GRM8",0,3.31409557593032,0.418,0.078,0
"RALYL",0,4.04306432541193,0.361,0.027,0
"C5orf46",0,-6.33461784463644,0.01,0.339,0
"STK33",0,6.94876915701569,0.307,0.008,0
"ATG16L1",0,3.46111289542954,0.342,0.05,0
"CTTNBP2",0,2.46368232694366,0.647,0.365,0
"GRIA4",0,3.82480312097854,0.307,0.028,0
"PPP1R14C",0,4.85101875401678,0.298,0.024,0
"TMEM132D",0,4.69266956449117,0.289,0.016,0
"FBXL7",0,6.95422879209783,0.278,0.006,0
"SORCS3",0,-5.87558909418262,0.011,0.275,0
"SGIP1",0,5.13174909262178,0.27,0.008,0
"XKR6",0,5.05430364062872,0.272,0.011,0
"LRRTM4",0,6.54123427545854,0.26,0.004,0
"VEGFA",0,-1.33289875840762,0.648,0.847,0
"PTGER3",4.24828860136085e-307,2.28224077100118,0.472,0.148,5.32438010408556e-303
"SKAP1",1.50232113725685e-305,3.3763737113437,0.326,0.044,1.88285908132401e-301
"TPRG1",3.58780939068897e-300,3.05223042548613,0.332,0.041,4.49660150935048e-296
"KCNT2",5.46289529115274e-295,3.10401617621386,0.328,0.044,6.84664666840173e-291
"SLC6A3",6.77174227665538e-288,-3.21252255767891,0.152,0.459,8.48702459533219e-284
"TENM2",1.54480468339057e-287,3.73078623446399,0.342,0.053,1.93610370969341e-283
"LRRC4C",4.58958861925068e-286,5.12040608923298,0.261,0.015,5.75213141650688e-282
"HAVCR1",1.02058281569478e-283,1.91001000222199,0.533,0.209,1.27909644291026e-279
"ARL17B",7.88644900334358e-275,3.99600461865107,0.273,0.025,9.88408653589051e-271
"TMEFF2",3.46356313499209e-264,4.13493132184946,0.254,0.012,4.34088367708559e-260
"ZNF320",2.43083891353387e-262,2.28515279725222,0.412,0.112,3.04657041033199e-258
"ANGPTL4",1.07067203742829e-254,-1.58916685764902,0.583,0.805,1.34187326450887e-250
"STK39",2.28768106024261e-253,2.65468770429983,0.356,0.086,2.86715067280206e-249
"RNF180",6.3617357679195e-253,4.57803482026425,0.276,0.035,7.9731634379335e-249
"GRIN2A",3.07597964628842e-246,-4.48402857397041,0.019,0.248,3.85512529069328e-242
"CCDC192",3.08258049527422e-236,3.06727324087996,0.272,0.03,3.86339813472719e-232
"SPATS2L",4.17476249596612e-236,1.40873496481069,0.766,0.546,5.23222983619433e-232
"DOC2A",3.14984541605485e-233,-2.50727239651742,0.29,0.521,3.94770125994154e-229
"PDE7B",9.64421098052681e-233,3.08103569929114,0.259,0.032,1.20870896218943e-228
"DNAH11",1.29356836190308e-232,-1.60005025218449,0.42,0.664,1.62122922797313e-228
"WIPF1",1.10738450422886e-229,2.19203566236117,0.424,0.14,1.38788499915003e-225
"BAZ2B",8.24838466518924e-227,1.77049923301791,0.506,0.204,1.03377005008817e-222
"IGFBP5",1.31479816618599e-223,-4.33435760993738,0.033,0.25,1.6478365416809e-219
"SEMA5B",1.07419052948592e-222,-2.7434162134843,0.11,0.365,1.3462829906047e-218
"VCAN",5.1081140981357e-222,1.85268558983792,0.527,0.248,6.40199939919347e-218
"SPON1",8.31732769599936e-222,2.30318498677298,0.357,0.09,1.0424106801396e-217
"SLCO1A2",5.19457482223566e-218,8.0629298914085,0.178,0.001,6.51036062470796e-214
"EPHA6",5.812093656449e-216,2.58042251831363,0.279,0.051,7.28429697962753e-212
"RIPOR2",5.59990329157217e-209,2.00029614191426,0.344,0.091,7.0183587953274e-205
"HIF1A",4.85618913073055e-207,-2.01599337315458,0.286,0.533,6.0862618375446e-203
"NOX4",9.21233971148362e-207,1.92074476894009,0.418,0.158,1.15458253604024e-202
"PLCL1",2.83797856840217e-206,3.6394749500436,0.218,0.024,3.55683853977844e-202
"CES4A",6.86299838522415e-206,-3.01214885669841,0.087,0.32,8.60139587620143e-202
"SAMD12",1.31168205639033e-204,2.37150982659538,0.27,0.047,1.643931121274e-200
"GREB1L",9.72358466962859e-204,2.9350422286466,0.24,0.032,1.21865686664455e-199
"GPR155",3.17418522249506e-203,2.52157024383712,0.292,0.062,3.97820633935306e-199
"NCALD",1.05230220953788e-201,3.62853708584402,0.23,0.025,1.31885035921382e-197
"TMEM117",8.00404760547311e-201,3.40293444606135,0.203,0.021,1.00314728639394e-196
"DERA",1.82807275017804e-196,1.7223053644295,0.516,0.254,2.29112357779814e-192
"SCGB3A2",1.00445213625909e-195,-9.23039515290088,0.001,0.159,1.25887986237352e-191
"SPTBN1",3.27870756608746e-195,1.40153046179302,0.582,0.33,4.10920419257742e-191
"ELMO1",2.54815445349556e-194,2.25853404265582,0.309,0.076,3.19360197656598e-190
"CYSLTR2",3.71632586399441e-191,4.84598739872131,0.195,0.014,4.6576712053442e-187
"LGI4",4.8396616636807e-190,1.70684030106716,0.418,0.166,6.06554796309102e-186
"ADAMTS12",7.45710123085798e-189,6.70822310291413,0.171,0.005,9.3459849726343e-185
"EGLN3",4.39337403311418e-186,-1.24722152855803,0.471,0.662,5.506215675702e-182
"SHROOM3",3.38068319622717e-182,1.95205777278771,0.345,0.108,4.23701024983151e-178
"DOK6",9.97840419158339e-181,1.76105373870936,0.269,0.064,1.25059339733115e-176
"CFH",5.36104063778916e-179,2.51277295801961,0.264,0.055,6.71899223134115e-175
"AFF3",1.09510927064146e-178,1.48280038969942,0.554,0.302,1.37250044889494e-174
"NCKAP5",1.59047613481545e-175,2.19207760483057,0.35,0.108,1.9933437397642e-171
"FKBP5",7.39765569472604e-173,1.40873540164375,0.735,0.562,9.27148188220014e-169
"TM7SF3",1.01427872370835e-172,1.24280651809138,0.643,0.423,1.27119552442368e-168
"ICA1",5.52281071158885e-172,4.2577419631006,0.186,0.015,6.92173866483431e-168
"CCDC178",2.70439596396868e-170,2.59172416591655,0.256,0.053,3.38941946164194e-166
"PDE7A",3.20557956034182e-169,1.25349816264032,0.499,0.244,4.0175528629764e-165
"FGD4",1.26068403147457e-168,1.46496636961702,0.611,0.388,1.58001529664708e-164
"FOS",1.06095521499752e-164,-1.50424452365369,0.196,0.446,1.3296951709564e-160
"GALNT18",4.10063686075425e-163,1.81591690036994,0.402,0.163,5.1393281775833e-159
"ZNF189",3.28231209937502e-162,1.94990747792754,0.307,0.101,4.11372175414671e-158
"ACMSD",4.91078255058219e-162,1.45065881683931,0.54,0.282,6.15468377064466e-158
"TRPS1",1.31932960520446e-161,1.51938873682159,0.396,0.156,1.65351579420275e-157
"SPAG17",1.07496756132102e-159,1.57397018013228,0.346,0.109,1.34725684460363e-155
"MAOA",8.55571991345925e-159,1.77711925291897,0.422,0.188,1.07228837675385e-154
"PLXDC2",6.7314573155319e-158,1.6290891780154,0.563,0.305,8.43653545355613e-154
"LRIG3",4.95731725414452e-157,1.62143607597128,0.403,0.175,6.21300571461933e-153
"MDFIC",4.35484795471598e-156,2.7133195218943,0.26,0.071,5.45793094164553e-152
"CLCN5",9.10120541571663e-156,2.24615346423637,0.32,0.108,1.14065407475176e-151
"ANKS1A",6.19356755250939e-155,1.82682873186956,0.39,0.156,7.76239821356002e-151
"PLA2R1",6.64435839480673e-155,2.3447818324732,0.26,0.062,8.32737437621128e-151
"PDIA5",1.25610348487307e-154,-2.14020132160631,0.193,0.403,1.57427449759142e-150
"DLGAP1",5.68005348283812e-154,5.19779955319502,0.186,0.023,7.11881103004102e-150
"NR2F1",1.12339158378183e-153,-3.88882113625735,0.016,0.165,1.40794667195377e-149
"RGS22",7.56298697639323e-152,7.78322997310515,0.125,0.001,9.47869157751364e-148
"ASAP1",7.73727022148233e-151,1.891994776049,0.375,0.159,9.69712076858381e-147
"SPINK13",2.7773745896218e-150,-3.56811793418751,0.054,0.235,3.48088357317301e-146
"CPE",3.25954392619085e-150,-4.81209023919398,0.013,0.159,4.08518640269499e-146
"PLIN2",3.38861001200551e-150,-1.19449473109743,0.432,0.643,4.24694492804651e-146
"CACNA2D1",6.53398261053498e-150,1.50001777473914,0.436,0.21,8.18904040578349e-146
"CFTR",9.91252038648064e-150,2.04051421655246,0.311,0.095,1.24233618003762e-145
"GRIP1",2.29279457205827e-149,1.31317344739345,0.325,0.105,2.87355943716062e-145
"LRRIQ1",3.36132601783982e-149,1.72763034287871,0.302,0.096,4.21274989815865e-145
