"","x"
"1","SAMD11"
"2","NOC2L"
"3","KLHL17"
"4","PLEKHN1"
"5","PERM1"
"6","HES4"
"7","ISG15"
"8","AGRN"
"9","C1orf159"
"10","SDF4"
"11","B3GALT6"
"12","C1QTNF12"
"13","UBE2J2"
"14","ACAP3"
"15","PUSL1"
"16","INTS11"
"17","CPTP"
"18","DVL1"
"19","MXRA8"
"20","AURKAIP1"
"21","CCNL2"
"22","MRPL20"
"23","ANKRD65"
"24","VWA1"
"25","ATAD3C"
"26","ATAD3B"
"27","ATAD3A"
"28","SSU72"
"29","MIB2"
"30","CDK11B"
"31","SLC35E2B"
"32","CDK11A"
"33","NADK"
"34","GNB1"
"35","PRKCZ"
"36","FAAP20"
"37","SKI"
"38","MORN1"
"39","RER1"
"40","PEX10"
"41","PLCH2"
"42","PANK4"
"43","TNFRSF14"
"44","TTC34"
"45","ARHGEF16"
"46","MEGF6"
"47","TPRG1L"
"48","WRAP73"
"49","SMIM1"
"50","LRRC47"
"51","CEP104"
"52","DFFB"
"53","C1orf174"
"54","AJAP1"
"55","NPHP4"
"56","KCNAB2"
"57","RPL22"
"58","RNF207"
"59","ICMT"
"60","GPR153"
"61","ACOT7"
"62","ESPN"
"63","TNFRSF25"
"64","PLEKHG5"
"65","NOL9"
"66","ZBTB48"
"67","KLHL21"
"68","PHF13"
"69","THAP3"
"70","DNAJC11"
"71","CAMTA1"
"72","VAMP3"
"73","PER3"
"74","PARK7"
"75","ERRFI1"
"76","RERE"
"77","ENO1"
"78","SLC2A5"
"79","GPR157"
"80","H6PD"
"81","SPSB1"
"82","SLC25A33"
"83","TMEM201"
"84","PIK3CD"
"85","CLSTN1"
"86","CTNNBIP1"
"87","LZIC"
"88","NMNAT1"
"89","RBP7"
"90","UBE4B"
"91","KIF1B"
"92","PGD"
"93","CENPS"
"94","DFFA"
"95","PEX14"
"96","CASZ1"
"97","TARDBP"
"98","SRM"
"99","EXOSC10"
"100","MTOR"
"101","UBIAD1"
"102","FBXO2"
"103","FBXO44"
"104","FBXO6"
"105","MAD2L2"
"106","AGTRAP"
"107","C1orf167"
"108","MTHFR"
"109","CLCN6"
"110","KIAA2013"
"111","PLOD1"
"112","MFN2"
"113","MIIP"
"114","TNFRSF1B"
"115","VPS13D"
"116","DHRS3"
"117","PRDM2"
"118","KAZN"
"119","TMEM51"
"120","FHAD1"
"121","EFHD2"
"122","CASP9"
"123","DNAJC16"
"124","AGMAT"
"125","DDI2"
"126","PLEKHM2"
"127","SLC25A34"
"128","TMEM82"
"129","FBLIM1"
"130","UQCRHL"
"131","SPEN"
"132","ZBTB17"
"133","FAM131C"
"134","EPHA2"
"135","ARHGEF19"
"136","CPLANE2"
"137","FBXO42"
"138","SZRD1"
"139","SPATA21"
"140","NECAP2"
"141","NBPF1"
"142","CROCC"
"143","ATP13A2"
"144","SDHB"
"145","PADI1"
"146","RCC2"
"147","ARHGEF10L"
"148","KLHDC7A"
"149","ALDH4A1"
"150","IFFO2"
"151","UBR4"
"152","EMC1"
"153","MRTO4"
"154","AKR7A3"
"155","AKR7A2"
"156","CAPZB"
"157","MICOS10"
"158","NBL1"
