c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
MYH11,ADAMDEC1,APOD,MMP11,MFAP5,LIMCH1,CXCL8,RGS5,XIST,PRG4,RPL17-C18ORF32,HP,C7,HSPA6,PLAT,SFRP4,RBP1,ACTG2,MMP1,CHI3L2
ADIRF,CCL13,C3,COL11A1,CLEC3B,A2M,CXCL3,FABP4,COL1A1,CRTAC1,HOPX,KRT18,C2ORF40,DNAJB1,CXCL14,SFRP2,STAR,SOSTDC1,FTH1,PTGDS
RERGL,CCL11,CFD,COL1A1,IGFBP6,MYH10,MMP3,NDUFA4L2,VMP1,HTRA1,MGP,SLPI,C11ORF96,HSPA1A,F3,COMP,RPS17,IGJ,MMP11,PLA2G2A
ACTA2,MT-RNR2,PTGDS,CTHRC1,CFD,ADH1B,CXCL1,HIGD1B,NEAT1,CLU,RPL9P9,KRT19,SFRP1,HSPA1B,HSD17B2,IGF1,MARCKSL1,IGHA1,CHI3L1,CXCL12
PLN,MT-RNR1,GSN,COL10A1,PI16,MACF1,CXCL2,COL4A1,COL1A2,FN1,C11ORF96,RARRES1,RPL17-C18ORF32,HSPH1,DMKN,COL1A1,RPL31,MT-RNR2,CXCL6,CHI3L1
RGS5,CCL8,SRPX,COL1A2,GSN,SCN7A,TNFAIP6,CD36,COL5A1,PLA2G2A,FP671120.3,KRT8,SELENOP,GEM,MT-RNR2,WISP2,STMN1,HHIP,SOD2,CLU
MYL9,IGHA1,IGF1,COL12A1,TNXB,FMO2,AKR1C1,NOTCH3,THBS2,C2orf40,C12ORF57,UPK3B,SRGN,HSP90AA1,MT-RNR1,ELN,GNB2L1,MYLK,IL32,SCRG1
TAGLN,CTSC,CXCL12,THBS2,PCOLCE2,DPT,IL6,COX4I2,COL6A3,TPPP3,FP671120.4,TFPI2,RPL9P9,GADD45B,BMP4,COL3A1,RPS3,MT-RNR1,CTSB,WISP2
BCAM,APOE,CCDC80,COL5A2,EFEMP1,INMT,MMP10,ARHGDIB,DDX17,DEFB1,IGFBP5,C3,RPL10P9,CXCL2,NSG1,COL1A2,RPL36,MYH11,MMP3,IGFBP4
DSTN,RNA18S5,ITM2A,POSTN,S100A10,PTGDS,MMP12,COL4A2,COL5A2,AK1,AP002990.1,TM4SF1,RPL21P16,DNAJA1,ENHO,CCDC80,ST13,ACTA2,COL7A1,CD74
CRIP1,IGJ,DPT,COL3A1,FBN1,C7,CTSL,STEAP4,COL3A1,THBS4,LRRC75A-AS1,MSLN,CYR61,NFKBIA,VSTM2A,COL14A1,RPL5,CNN1,CTSK,IGF1
SNCG,C17orf76-AS1,ADH1B,SDC1,SLPI,MFAP4,HMOX1,COL18A1,POSTN,RGCC,RPL21P16,HBA2,FBLN5,IER3,ID1,DPT,RPS20,TAGLN,TNC,APOE
MCAM,RNA28S5,CFH,COL5A1,PLA2G2A,DST,PLIN2,IGFBP2,NKTR,S100A4,MOXD1,CLDN1,C12ORF57,HMOX1,IGHA1,SPARC,RPL9,WFDC1,CTHRC1,PPAP2A
TPM2,FABP5,FBLN1,AEBP1,DCN,MGP,DDX21,GJA4,MACF1,TWISTNB,CTGF,RPS17,CEBPD,HSP90AB1,AGT,CTHRC1,RPL23A,TPM2,PDPN,EFEMP1
CSRP2,STMN2,MGST1,FN1,FBLN2,GSN,MEDAG,IFITM1,KCNQ1OT1,VKORC1,TIMP1,MT1E,CCL21,MAFB,IGJ,MMP2,HNRNPA1,RNA18S5,GAPDH,CYP1B1
SORBS2,LINC01082,DCN,SPARC,CCDC80,FBLN1,TXN,TINAGL1,MMP14,GPR1,NMNAT3,CALB2,FP671120.3,EGR1,TMEM176B,PDGFRL,RPL36A,MYL9,RARRES2,SFRP1
PTP4A3,CXCL14,SVEP1,MFAP2,CD55,LTBP2,IL1RL1,MCAM,WSB1,HBEGF,MTATP6P1,SGK1,JUND,PPP1R15A,FRZB,CILP,MDK,CKB,WNT5A,CP
TINAGL1,HAPLN1,CXCL14,COL8A1,PLAC9,GPC3,IER3,MEF2C,COL6A1,MT1X,NR2F1,SAT1,IGFBP7,HSPD1,POSTN,IGFBP4,C6orf48,LINC01082,SLC16A3,OSR2
NET1,TMEM176B,ABCA10,MMP14,CST3,SPARCL1,SOD2,PDGFRB,MT-ND3,TMEM196,COL4A1,KLF6,CTGF,ID2,MMP1,ASPN,RPL38,NDUFA4,LY6E,SMOC1
MTRNR2L8,TCF21,ABCA6,SULF1,FSTL1,PRELP,MT2A,EPS8,DST,TMEM100,CYP1B1,HAS1,MTATP6P1,FOSB,FENDRR,CTSK,NPM1,PDLIM3,MMP2,NNMT
CNN1,ADAM28,SFRP2,VCAN,MGST1,SEPP1,PTGS2,MYO1B,N4BP2L2,ANKH,RAMP1,GAS1,A2M,MYC,RGS10,MDK,DDIT4,RNA28S5,TGFBI,VCAN
LBH,ABCA8,NOVA1,COL6A3,FBLN1,LTBP4,FOSL1,ADGRF5,IGFBP3,ITGB8,C4ORF3,EZR,FP671120.4,HSPE1,C8orf4,SERPINF1,RPS8,TPM1,SPON2,PTGFR
NDUFA4L2,CYGB,GPC3,MXRA5,C1QTNF3,AC090498.1,WTAP,CCDC102B,CDH11,ERRFI1,IGFBP7,LXN,NMNAT3,HSPA8,CXCR4,OGN,RPL3,SMTN,MMP14,SEPP1
