"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1CF",4.86268917719584,0.442333689982789,1.10761767582164,0.0280814660722633,0.0873477408285495
"A2M",3.6608137694076,-0.249911990808752,0.895085113300202,0.0761013872686597,0.183438122001114
"A4GALT",391.684753912255,0.811021977589859,0.236166574688318,9.78799180984e-06,0.000127312840610357
"A4GNT",1.60471844399946,-0.112251800378751,0.611315926005688,0.30333519797469,0.484049990960303
"AAAS",542.620797091591,-0.419096807199646,0.126768084891855,0.000276192502962141,0.00213432688672976
"AACS",639.565832060016,0.41158338618152,0.249098917041097,0.0217469047553605,0.0721492901418859
"AADAT",49.969871210529,-0.823995968692187,0.429182210843042,0.00112532163847232,0.00676206302964332
"AAGAB",749.349320140357,-0.236525268916351,0.123306706596451,0.0363924414464978,0.105807795328806
"AAK1",2056.16017961295,0.468483397345861,0.107098662484692,2.72507149213657e-06,4.30294070959034e-05
"AAMDC",112.481594645927,-0.204696290642913,0.211296452073359,0.209519159604506,0.379072553201358
"AAMP",1681.51903557884,-0.0866006079222263,0.109158407093932,0.396588689822496,0.576765403976258
"AANAT",5.52881082852069,0.485698291216495,0.749310428771398,0.0257357485478072,0.0817780279692596
"AAR2",555.403722714186,-0.186461284337765,0.13437066023963,0.12414581616878,0.262268689901643
"AARD",3.83341662228386,0.0341469394313085,0.460523096522703,0.7679189811666,0.871032640132036
"AARS2",501.336936746804,0.113138873332805,0.130863981410455,0.34107260217398,0.522324535950333
"AARSD1",251.815931155205,-0.30316627388405,0.147500946099018,0.0198013960348824,0.0670884516980181
"AASDH",154.025312868451,0.0337951896939276,0.185941721715308,0.824111859061043,0.906097739124837
"AASDHPPT",834.513372638876,-0.123619834932655,0.0954286613274656,0.172945979734001,0.332586575108519
"AASS",142.282601332591,-0.262132734426961,0.236750605784728,0.127628890544097,0.267504900295846
"AATF",916.863215811812,0.00379936486041987,0.142752595475995,0.97618195935658,0.989092094872685
"AATK",50.4064058260807,-0.244788775488727,0.279997242878125,0.172779577336798,0.332586575108519
"ABAT",184.345300838565,-0.142553360471634,0.301370929350389,0.410445056306918,0.58893825922062
"ABCA1",162.899030058224,0.924004535447813,0.337653920928118,7.37823864861489e-05,0.000709540616708465
"ABCA2",5031.66615691931,1.12943259235945,0.14142874975708,9.82844755651337e-18,2.30685325021351e-15
"ABCA3",2758.73084050191,0.43537182157771,0.195165850751906,0.00576987200044812,0.0256669410415051
"ABCA5",172.009904802729,0.961816359070306,0.294441806038537,1.01986253639869e-05,0.000131472890435126
"ABCA7",604.043650969759,1.18533361114741,0.269797973608282,7.80774961862721e-08,1.9694301770264e-06
"ABCA10",6.23854007029444,0.083532368751584,0.445455331292293,0.520444446192665,0.687833049329645
"ABCA12",65.473689676163,0.321673766563447,0.351666918422381,0.0919525090936972,0.211165970454928
"ABCA13",41.2475188551046,-0.286336280199104,0.376910323283386,0.124108865939519,0.262268689901643
"ABCB1",16.4394607482158,0.106467416428762,0.320236715741193,0.526417586420529,0.692687301392687
"ABCB4",38.0662154886268,-0.00705105885534831,0.26219987026147,0.966977074027942,0.984610185377863
"ABCB6",812.825760898274,0.0851042901267226,0.142650041459939,0.503311144150196,0.672570947041582
"ABCB7",327.18120831347,-0.0554151217998734,0.148203284059897,0.67198085432504,0.808970778987496
