"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",5.7971171575237,0.22002776160488,0.686615540993214,0.352933102881908,0.483861202405003
"A1CF",171.574204737251,-0.160816783573752,0.71473697000546,0.438875985768913,0.567221219000262
"A4GALT",522.658259706167,0.0262792876460469,0.433534440862522,0.925356852470532,0.954991514621865
"AAAS",419.139654461504,-0.188693587573906,0.146634077411083,0.169728508350187,0.278426753311074
"AACS",1230.44618366883,-0.652184704648559,0.243488471112537,0.0023295359183068,0.00795138583953733
"AADAT",28.7397732081767,-1.45174483592291,1.09451677129319,0.00220712718076491,0.00758278238115941
"AAGAB",372.568877077344,-0.956938619657963,0.213425266416077,7.84514612439549e-07,6.15441415534319e-06
"AAK1",1471.180586135,-0.71102493042503,0.0889661158630607,4.59192004055873e-16,1.4478312876083e-14
"AAMDC",40.9359572919396,-0.460730711707779,0.352011216368173,0.087853537235356,0.165321068780658
"AAMP",1187.95007620729,0.080048671922522,0.114871236552978,0.467462364143807,0.593777911676434
"AANAT",5.66009403269379,0.197395694886102,0.534360394704894,0.482411220347233,0.606844883766305
"AAR2",536.81114080031,0.0602796958518449,0.182454338074123,0.717862974348197,0.807534427338304
"AARD",5.30821318720822,-0.426577922723775,0.683324998245689,0.141267466028676,0.240874678166908
"AARS2",294.956606444858,0.0371201262860802,0.20992759602108,0.843125554254727,0.900228584322003
"AARSD1",152.086064143327,0.137535603433656,0.193738746810955,0.432739137863381,0.561497501690293
"AASDH",136.164490875321,-0.0468434566851864,0.213220889130428,0.805198350047912,0.873754388986405
"AASDHPPT",704.928027036173,-0.384261545918748,0.209192721322721,0.0403024066426384,0.0876924720945961
"AASS",37.2991950055231,-0.544247294763874,0.780333829202858,0.0712662683848745,0.139602040632349
"AATF",745.849273947229,0.443364743613037,0.160802629680161,0.00319961975462448,0.0104388586932513
"AATK",75.9514212436367,1.1893334861475,0.492300430127018,0.000603676253558848,0.00245427810197642
"ABAT",108.396306035666,0.112345835275081,0.387736343141656,0.682859942013502,0.779169244743429
"ABCA1",600.772090908587,-1.5382951533324,0.553980163541506,8.5050992657648e-05,0.000428777013597682
"ABCA2",3400.19647520969,0.775226470434879,0.143561365999332,1.72743017331102e-08,1.84053905337871e-07
"ABCA3",2501.50325757855,0.890470866136917,0.185624055262281,2.43617867101297e-07,2.10590908392364e-06
"ABCA4",7.491683953381,-0.298842235031946,0.688564180441944,0.245092125634458,0.367442561897588
"ABCA5",332.3010167797,-0.234783119361363,0.45449171780384,0.414209512383543,0.543786986402279
"ABCA7",76.7962361633154,-0.408242041948789,0.385656229032932,0.146026110370638,0.247097979298989
"ABCA10",4.38178596972363,-0.676842642090679,0.847704182581654,0.0381431297533934,0.0838077991306178
"ABCA12",1046.60268324135,0.0951003923557016,0.292927969034433,0.691405184180743,0.786111670841267
"ABCB1",56.0023264376379,0.453249898445767,0.756059954373507,0.107795789695582,0.193805420883018
"ABCB4",5.48830155230544,-0.0558439478444278,0.626098301149961,0.813441787637076,0.87938929648514
"ABCB5",3.18955219843277,-0.135572455609547,0.634455705431469,0.575365285291016,NA
"ABCB6",752.238774824165,-0.0540958508331539,0.261334235252246,0.807339990719069,0.875375988486934
"ABCB7",244.480939588628,0.575794075341324,0.214291630718251,0.00288110905931114,0.00954898460091325
"ABCB8",272.253880951455,-1.10471697523202,0.329209322056823,4.07794335397295e-05,0.000222846214538804
"ABCB9",250.313034437605,-0.0369486512476474,0.192580427956334,0.832477993546987,0.893212066195184
"ABCB10",367.299138233728,-0.557419617943069,0.19841488247695,0.00210679427725206,0.00729334680287258
"ABCC1",3619.10688029904,-0.390597486259668,0.194330860269955,0.0267896066403199,0.062563010320946
"ABCC2",1751.52342548667,-1.11208850937033,0.268102988297081,1.6558973017391e-06,1.21697807284884e-05
"ABCC3",2194.2410642655,-0.154656744032327,0.153378188638055,0.279904976773502,0.406770198835704
"ABCC4",2141.60764467575,0.584289892793869,0.157582148657992,8.81334688800688e-05,0.000442958275548602
"ABCC5",457.509468761062,-0.654421947605266,0.243859053870991,0.00227858529385122,0.00780381334815209
"ABCC6",147.148566931051,-1.13730849046268,0.778473378376351,0.00520313500751762,0.0158138740357933
"ABCC10",221.608352286694,-0.75319600087444,0.225476044068053,0.000200328513683293,0.000917422256324604
"ABCC11",2.7665474023302,-0.019716891803835,0.703370654434817,0.916286610755119,NA
"ABCD1",492.535584248814,-0.494121550774326,0.154420082376462,0.000689902838951457,0.00276213231624049
"ABCD3",546.657192603113,-1.62799944445683,0.16496239129724,7.46186134879988e-25,5.87476365353418e-23
"ABCD4",167.189234545732,-0.18482974578659,0.196274885468769,0.296707427205993,0.424772348966071
"ABCE1",877.915512741312,0.126594626928039,0.103079708785518,0.203177155709471,0.319160483066682
"ABCF1",971.215800826986,0.00573341611768065,0.102789856634753,0.953991104703172,0.972185262519882
"ABCF2",985.440857508331,-0.864982292340955,0.12256371569984,3.13490210999669e-13,6.86961549037274e-12
"ABCF3",528.46172443298,-0.181013826824257,0.145443338212788,0.184592358680255,0.297757371111273
"ABCG1",67.5432046995756,2.62295695398254,0.982104366666025,1.47890301681654e-05,8.98134728180315e-05
"ABCG2",5.59281823971584,-0.0463972122491083,0.68992470167934,0.815111503415784,0.880398097996445
"ABHD1",5.04070567350056,0.204345398928844,0.553853441532085,0.462567526688155,0.589154106451212
"ABHD2",1899.59961543407,-0.32797108316339,0.159141092275312,0.0267730045100577,0.0625353461180031
"ABHD3",71.7503144381732,-0.146847801996438,0.339007132447191,0.573031174410236,0.687930412814626
"ABHD4",503.683414598379,0.0494345080504399,0.196285677520344,0.780582600489643,0.855044574792787
"ABHD5",91.026173458028,-0.609600411364103,0.292461654944107,0.0123114287893041,0.0327474541213373
"ABHD6",49.1822123221107,-2.20003217804951,0.443300351224312,7.38278680176281e-09,8.4435180953378e-08
"ABHD8",139.78855016758,-0.266463859913495,0.244230022104481,0.20674566907941,0.323413689120295
"ABHD10",302.097087173752,-0.10781135341852,0.147366676850403,0.435455608056836,0.563946755655732
"ABHD11",361.821293255561,-0.370283807688893,0.226376911361399,0.0634747814030027,0.12706553378299
"ABHD12",935.155155238518,0.158935471259024,0.16688028564358,0.302622657739703,0.431174978756135
"ABHD12B",11.2176039274998,1.10573811988049,0.811323802762405,0.00641696771479396,0.0188452739589258
"ABHD13",123.969680132153,-0.564071908259218,0.310068646715381,0.0253788875507638,0.0598639421452176
"ABHD14A",72.8955750942488,-0.866760787670975,0.292412015656676,0.000428519802131967,0.00180582639693304
"ABHD14B",542.171098709825,0.418447008114029,0.116611248259139,0.000193184660718467,0.000887488441343956
"ABHD15",546.301613589047,-0.276764461551605,0.255885452742824,0.20541676227512,0.321794696471446
"ABHD16A",263.885776186512,-0.185647509056029,0.149540949798198,0.184401011433277,0.297553865000053
"ABHD16B",72.1557758738636,0.167200497584335,0.29595454551144,0.488310264811936,0.612098709290432
"ABHD17A",794.921608035082,0.540028916033935,0.182904036399789,0.00141143687825102,0.00517644967231365
"ABHD17B",196.800255434269,-0.763341722254399,0.206074471394557,5.09749371796051e-05,0.000271893904274827
"ABHD17C",96.2047630282408,0.151407756399841,0.319055923895247,0.548457331709896,0.666523430753462
"ABI1",736.8943956486,0.514627101427159,0.114860920100432,3.7378411703837e-06,2.57439160336328e-05
"ABI2",1257.35416099198,0.239911695822465,0.092690452801809,0.00762754611362273,0.0218919398170512
"ABI3BP",202.882929507193,-0.171721723004289,0.517183223109008,0.541754265131648,0.661372802038153
"ABL1",1918.53400510113,0.218680031625242,0.248053137261336,0.305617220693799,0.434499915406798
"ABL2",1725.44436676305,0.575774545491914,0.104008042765432,1.42926868135201e-08,1.55305988615011e-07
"ABLIM1",2740.11449708887,0.334225917517641,0.188233815615967,0.0510061874857873,0.106246728939026
"ABLIM2",12.3897977826763,0.0150726209321857,0.569165091338532,0.953768573903717,0.972185262519882
"ABLIM3",1538.5544069999,-0.219752525915632,0.252091345136576,0.309075894615349,0.437901924827867
"ABO",117.512061404365,-1.05158761332375,0.272866731283427,7.60496595312635e-06,4.89667445405021e-05
"ABR",2552.31881525746,0.773181585315067,0.148762091336184,5.22865264359839e-08,5.12649701402175e-07
"ABRA",9.02187499105423,0.13464866784033,0.549123778155563,0.621115257716872,0.72930655568768
"ABRACL",57.5147623265912,0.489016705171347,0.30087895766406,0.0472448692259497,0.0999960625535716
"ABT1",401.531222741937,0.251899776035314,0.175905194882158,0.11841304317732,0.209316307030842
"ABTB1",132.393693077793,0.297127655416522,0.212736941991274,0.116691384245765,0.206856993402093
"ABTB2",1196.45671414355,0.878463999690491,0.261924022341529,0.000112622400161435,0.000548226329997242
"ACAA1",316.865368168551,-0.954179264557748,0.206123291639091,4.01060559325563e-07,3.31227652890233e-06
"ACAA2",545.071327876376,-0.11311928738705,0.154255576234298,0.432055540429008,0.560887267531654
"ACACA",2559.4761099249,-0.580472487907411,0.305440324854996,0.0203133490437043,0.049865555120729
"ACACB",283.610823082511,-2.22695137733831,0.358786070587708,8.26768625704115e-12,1.51187119482026e-10
"ACAD8",83.0600992879307,-1.32957459592783,0.435358535052692,5.54846416683979e-05,0.000292272463403885
"ACAD9",580.749223958301,-0.57695912513086,0.135021715318298,8.50794534904641e-06,5.42232018658566e-05
"ACAD10",356.834002808491,0.187655745235982,0.143645164941019,0.164221846966075,0.271118639365891
