"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",48.1795325726161,-0.043826049865901,0.22548734758144,0.069695129629048,0.846288893354735
"A1CF",3.60082943484414,0.0109192386557452,0.199217138922739,0.266011548105335,0.99988901021854
"A4GALT",1154.9851771388,-0.00560460130357386,0.0522251781539615,0.233804806027176,0.99988901021854
"AAAS",475.335195279225,-0.000465669529415363,0.0295288652920762,0.875507282128423,0.99988901021854
"AACS",646.129703658529,0.000660202028275384,0.031621415503437,0.836504529273827,0.99988901021854
"AADAT",29.2153088660597,-0.0114724640175885,0.126650515235056,0.36998194871656,0.99988901021854
"AAGAB",486.040921824128,0.00126190859884639,0.0342726615350747,0.712693990976308,0.99988901021854
"AAK1",1719.0614854314,-0.000964079206714354,0.0208437712571246,0.625375320363736,0.99988901021854
"AAMDC",101.206804432011,-0.00017290537500778,0.0480617983650159,0.97364772157738,0.99988901021854
"AAMP",1265.48664359174,-0.000392813905096136,0.0197594263317872,0.837945393015271,0.99988901021854
"AANAT",3.99644690942791,0.00788668393963532,0.160786456776421,0.513880133641128,0.99988901021854
"AAR2",513.659502364566,0.000770180511639134,0.0255550808232854,0.756613012529067,0.99988901021854
"AARS2",349.764362252462,0.000483161836613383,0.0290882908071741,0.868562005814117,0.99988901021854
"AARSD1",228.352967651518,-0.000987316603392681,0.0410164336785681,0.818704984173221,0.99988901021854
"AASDH",203.165406582152,-0.00140932750244578,0.0417229623591825,0.744975099103259,0.99988901021854
"AASDHPPT",726.768605833711,-0.00191310545267761,0.0302082829088495,0.493496847844262,0.99988901021854
"AASS",50.315913253181,-0.0081769464501701,0.0938508982689647,0.402053172905958,0.99988901021854
"AATF",635.522090719556,-0.00243069179990997,0.0327936653982043,0.414574519585748,0.99988901021854
"AATK",29.6224807958775,-0.0021201326393083,0.0994801763160046,0.842399047232386,0.99988901021854
"ABAT",16.1150006224328,-0.00795654340027685,0.137632813380785,0.532461444311318,0.99988901021854
"ABCA1",3451.42482682466,0.00219111472154111,0.0373261690807032,0.542064644549453,0.99988901021854
"ABCA2",1765.65300698998,-0.00522545411330614,0.0572343106834734,0.337134549178616,0.99988901021854
"ABCA3",1813.19915263909,0.0748457634221079,0.205685557610829,0.0121464304273449,0.393233506709165
"ABCA4",52.8725370539301,-0.0128754350982124,0.117192922529564,0.282210496096898,0.99988901021854
"ABCA5",293.834984722907,-0.0840218319831135,0.264435241720545,0.0201875161862833,0.491130608240948
