"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",3.15960638705561,-0.057854685267682,0.920179553905875,0.84234857808093,NA
"A1CF",62.383309613332,2.12191702158742,2.28287307687644,0.00131698747398638,0.0132113546603043
"A2M",353.058744315628,-0.402111321956614,0.633709186273581,0.359905917832047,0.548534680366106
"A4GALT",1024.2081184952,0.975866354756955,0.521217172923451,0.0191181315881851,0.0819173204811273
"AAAS",520.945971635746,-1.07536049168677,0.426606541149673,0.00346030846282662,0.0259014863786199
"AACS",941.279071129173,-1.7692635670451,0.39233453418934,2.63596907537411e-07,2.16659651743653e-05
"AADAT",47.6255531292537,0.935996654930614,0.705357363453846,0.042191429641551,0.138464403305863
"AAGAB",574.048504355664,-0.859674226681665,0.412107881871493,0.0167567979718729,0.0747222982714949
"AAK1",1502.19913431062,0.658338076490686,0.402923498150475,0.0628595667761242,0.180002445656962
"AAMDC",82.7822004125191,0.477464475273807,0.594498360349116,0.272803042536773,0.460515537553795
"AAMP",1512.09888114909,-0.49721136656327,0.433334757978032,0.181857503097651,0.357596016277833
"AANAT",2.92408571869496,-0.0263824888307659,0.998405718212316,0.902128554597196,NA
"AAR2",656.496293228925,0.191140535480764,0.39200968073588,0.581950479774696,0.739777400950871
"AARS2",430.384690192854,0.712382159337289,0.399906148870105,0.0429412324527014,0.139772943650336
"AARSD1",235.815662521072,-0.662866095586925,0.455724163151166,0.0849645187353388,0.218323511231992
"AASDH",139.922481862077,0.493686541221499,0.509016919835016,0.228310874403443,0.411295325212084
"AASDHPPT",899.866968855909,0.222936644442013,0.451941437365997,0.560199350943969,0.72341623450169
"AASS",215.805635089618,0.214901161359106,0.462701002324035,0.579931797152082,0.738172536907364
"AATF",763.209770267544,-0.460147874718674,0.458007977463238,0.233177480326496,0.416925977656266
"AATK",55.3539934245401,0.654469344784739,0.71757261358454,0.142644067263542,0.306249648961498
"ABAT",119.117279179112,0.927664600629814,0.65042729405118,0.0409237816360847,0.136056622662766
"ABCA1",1285.17696134589,2.45723021255577,0.628424945353708,1.95462728913111e-07,1.72930219885628e-05
"ABCA2",3897.14506837009,1.23329854869516,0.462931683500938,0.00149188079626566,0.0145421280370501
"ABCA3",2949.7036732197,0.629741615152871,0.589735827100866,0.148900862812048,0.314593199374044
"ABCA4",18.5638841964406,-0.889841718272004,1.07796600960781,0.0391883976192189,0.132009567865904
"ABCA5",173.926890933936,1.41317134838352,0.646122559257646,0.00232582067020946,0.0196667914725472
"ABCA6",30.5688082397109,0.563467233872891,0.834151224646334,0.175857296257722,0.349901913840915
"ABCA7",196.078374195277,-0.00126620156946143,0.594878567978639,0.997663736644883,0.99907530300706
"ABCA8",9.91744081262515,0.123638020252876,0.916641577395032,0.681267611868889,NA
"ABCA9",7.07033509076934,0.0906515427392632,0.937149272607577,0.745430633806446,NA
"ABCA10",16.8837796992555,0.686621265104056,0.884271679945995,0.103861037030494,0.248358852689865
"ABCA12",187.839653351804,-1.61904172427514,0.644394083114909,0.000525093120930506,0.00686826115056946
"ABCA13",48.6598022935825,2.38362166328556,2.10817575748623,0.00096312545380467,0.0105960434209598
"ABCB1",260.678997843321,-0.194521918751995,0.706228150468553,0.6502155105917,0.790081781559644
"ABCB4",12.1217154333858,-0.989273573158216,1.34858332139879,0.0203712906714206,0.0855406206835525
"ABCB6",464.889744123931,-0.44595611459873,0.441049180579415,0.236596909842285,0.420925098644144
"ABCB7",308.099780351805,0.0890030956099033,0.45260257340406,0.816250041560803,0.895927072411875
"ABCB8",408.187398365186,-0.63430342329402,0.577450078083417,0.143290648514932,0.307378828435803
"ABCB9",200.077940783338,-0.176981816733089,0.497747352366624,0.661762952077473,0.797774720457726
"ABCB10",362.328622353296,-1.26600516589017,0.419009180461279,0.000481662954859954,0.00652807026054874
"ABCC1",2645.53028952533,1.05294064885543,0.377202305742873,0.00173607850175886,0.0159388183399568
"ABCC2",440.693163670351,0.138397406940337,0.686410029845797,0.748717501753679,0.853536806888716
"ABCC3",1885.8949365579,0.572009675350329,0.547089140900271,0.177370052944322,0.351648688843862
"ABCC4",3886.7859812345,-1.37165814384531,0.449301092606946,0.000310690841531453,0.00498514020291021
"ABCC5",468.72648688378,1.2214118140502,0.448350543602394,0.00131543277642248,0.0132061572668419
"ABCC6",51.6869320637238,-1.18435371874066,0.993959817564355,0.0152460704410954,0.0700198044050308
"ABCC9",13.0817732290594,0.278135074879807,0.891923348524759,0.419892817817014,0.604999070409593
"ABCC10",402.008254248232,0.224216142258759,0.457421862589671,0.560888943528545,0.723617735752269
"ABCC11",2.90353691664197,0.2280362467778,1.06343528384394,0.294893234149372,NA
"ABCD1",464.482203923271,0.436397875364792,0.469267814040331,0.265214946935814,0.452018518255823
"ABCD3",672.755047185682,-1.5843339776808,0.432124497338601,1.81118289291164e-05,0.000626044664011202
"ABCD4",294.610032036815,-0.105304271323374,0.576771274402876,0.806288691317278,0.889977294002956
"ABCE1",1452.47150033148,-1.15283999299144,0.363392266941138,0.000411198531147813,0.00592166941577348
"ABCF1",1181.00153067059,-0.308723269875156,0.353566555099707,0.335850180596094,0.524804526038788
"ABCF2",1212.09347417733,-0.504894455966396,0.390313591193136,0.1444102666847,0.308403790358175
"ABCF3",729.16291288209,-0.138770109883464,0.36242628058685,0.671434030136437,0.80440751776737
"ABCG1",122.897407238207,0.773955522399559,0.710005884762711,0.0875379710857525,0.221830077963604
"ABCG2",4.71227363086826,0.0984162745059852,0.894863927594522,0.755517517687134,NA
"ABCG4",2.58298858112892,0.219327232654165,1.05907195351421,0.311836428866903,NA
"ABHD2",2710.40319505705,-0.0594748514981897,0.413736758317102,0.869105483173492,0.926871241891034
"ABHD3",152.493349125542,-0.774093957070508,0.584543763839326,0.0763947456216056,0.204640256353923
"ABHD4",411.709400935047,-0.342205626791336,0.398444804358487,0.329991099162496,0.518484009355398
"ABHD5",260.53779970903,-1.11697277429772,0.541267460145925,0.00863207567007425,0.0482562625415305
"ABHD6",140.995831783538,-0.309613019777401,0.577056946874426,0.471917040695021,0.64997006469779
"ABHD8",170.95709356355,0.531582003716712,0.572876095248906,0.217637103806112,0.399696800128278
"ABHD10",390.331454168794,-0.163630191178986,0.410786112711544,0.648617830957283,0.789261622773324
"ABHD11",199.006840409274,-0.100111027064289,0.498852166436663,0.804742521701293,0.888809685866881
"ABHD12",911.101223932552,-0.462751390113983,0.354423867641766,0.149791391303521,0.315753261704194
"ABHD12B",8.1863075007332,0.237210864832229,0.882062480308882,0.49057912571196,NA
"ABHD13",237.025003228626,0.0169525539902621,0.450702169030953,0.964603815384835,0.981240227403609
"ABHD14A",110.116380301398,0.400050448926354,0.528189505493288,0.337181079355204,0.525916619856182
"ABHD14B",439.525197756517,0.113662871626624,0.382967704059905,0.739068853728014,0.847099282905515
"ABHD15",548.937977679047,1.12671105918219,0.504425384742889,0.00591461923550446,0.0370281322163768
"ABHD16A",425.075374442894,-0.254025851079894,0.403141369129576,0.473396090376753,0.651173377139459
"ABHD16B",105.451572327754,0.105596349126779,0.543654162020483,0.801996685694505,0.88736274406885
"ABHD17A",1174.11506869859,-0.543127927839953,0.432142215841039,0.143989140922886,0.308150790417867
"ABHD17B",314.197073217347,-0.0106816153160342,0.485747945677507,0.978655238544401,0.989058205541462
"ABHD17C",88.0795327006582,-0.494919239756814,0.670497387800608,0.262852642634774,0.449556003110084
"ABI1",1068.52224054567,-0.44451602159683,0.501277089390583,0.274110101331806,0.461620976995005
"ABI2",1914.08375344771,0.152483034734526,0.39021462365706,0.65945154047724,0.796795582860398
"ABI3",54.484817143739,-1.31277370745875,1.80230626714489,0.00579157291183508,0.0366358683698008
"ABI3BP",345.613474503831,-1.23357098241509,0.966832259858477,0.0125534952484471,0.0613283097452521
"ABL1",3570.61414299146,0.498823134451751,0.339932283418397,0.108387058028311,0.256235130688565
