"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",1.54265893158073,0.872128786290893,0.964256031732831,0.00357384401396443,0.0336440540920956
"A1CF",13.0769767089843,0.0914051248988137,0.313320219288367,0.359586488515642,0.591708944458269
"A2M",14.4865151532366,-0.008637320804971,0.311282855591714,0.920441601776882,0.964483605318987
"A3GALT2",0.640075425454527,-0.0119114720153675,0.338494782912848,0.885286232370626,0.947598828137401
"A4GALT",549.867246310466,0.265050979484676,0.270522196740776,0.0469454875783091,0.174283618666709
"A4GNT",1.37977700292276,0.15353848219168,0.478665830364682,0.138492496755454,0.342558165428284
"AAAS",520.611181340642,-0.231900040963521,0.0984101779601047,0.00961257565714076,0.0643892137431839
"AACS",987.519149506131,-0.225986252085956,0.175625556032464,0.0684682971327134,0.222139921572591
"AADAT",17.0707623878465,-0.258969605237199,0.446204318086748,0.0627884072092592,0.210387279930324
"AAGAB",541.40858155071,-0.190617061848956,0.157777785024298,0.111987554545915,0.301404877700542
"AAK1",1454.10934726085,0.167673589435021,0.127435831228319,0.120232456481213,0.313963830969875
"AAMDC",68.6139579922739,-0.0185999643484022,0.175232947705264,0.878096609983424,0.943586043524014
"AAMP",1341.5314966722,0.0488364105011947,0.108710172088439,0.613981107438558,0.792366427016407
"AANAT",3.67436068711053,0.189075594640148,0.351985825651745,0.119692077847392,0.313602127273949
"AAR2",528.742584453202,-0.144621081955355,0.0911871051450412,0.086059798818607,0.257415500722914
"AARD",2.11837266700327,-0.0258045487978627,0.296668801081611,0.773644804959219,0.888941089495526
"AARS2",460.051597698924,0.0969692586064261,0.129329011721484,0.373204905525211,0.604160840072312
"AARSD1",189.745566189319,-0.00192446207069735,0.138245616556951,0.986413937745194,0.99405691938748
"AASDH",161.479825437972,0.260133696676877,0.126892851432836,0.0154911654723209,0.0883792291911977
"AASDHPPT",755.618719808993,-0.0907492728034034,0.121788919381696,0.386781568123578,0.61552127315947
"AASS",59.647817995878,0.00297180235972278,0.245348998000502,0.976184008460971,0.989646150271831
"AATF",806.784924406371,-0.189172671111546,0.122931090926154,0.072832714842109,0.230352103874563
"AATK",37.9513867199048,0.107858540969778,0.216260792913909,0.356192179665454,0.588741511773745
"ABAT",86.5414539790909,0.0414228161655053,0.228341127486637,0.700308068344277,0.844567914955761
"ABCA1",481.81586289003,2.05584950472039,0.456406562874851,4.95597762867437e-07,8.54445119771569e-05
"ABCA2",4805.83621184843,0.300867883884398,0.159728558829146,0.0129284984325694,0.0784973817697817
"ABCA3",3022.1943740845,-0.05411009107436,0.172894999066158,0.655686509396874,0.818200965731985
"ABCA4",2.24696526557275,0.272290482700791,0.59133364848047,0.0497614510460692,0.180765569296716
